lang_code,size
ace_Latn-ban_Latn,48087
ace_Latn-bjn_Latn,49121
ace_Latn-bug_Latn,50485
ace_Latn-ceb_Latn,144870
ace_Latn-eng_Latn,2443442
ace_Latn-fij_Latn,60634
ace_Latn-ilo_Latn,102220
ace_Latn-jav_Latn,124566
ace_Latn-min_Latn,36362
ace_Latn-mri_Latn,63520
ace_Latn-pag_Latn,63096
ace_Latn-plt_Latn,123590
ace_Latn-smo_Latn,63113
ace_Latn-sun_Latn,89493
ace_Latn-war_Latn,116246
afr_Latn-aka_Latn,96786
afr_Latn-amh_Ethi,2084061
afr_Latn-bam_Latn,121707
afr_Latn-bem_Latn,340946
afr_Latn-cjk_Latn,127834
afr_Latn-dik_Latn,113793
afr_Latn-dyu_Latn,130823
afr_Latn-eng_Latn,39314717
afr_Latn-ewe_Latn,603861
afr_Latn-fon_Latn,250256
afr_Latn-fra_Latn,9586310
afr_Latn-fuv_Latn,168993
afr_Latn-gaz_Latn,471696
afr_Latn-hau_Latn,1915829
afr_Latn-ibo_Latn,820401
afr_Latn-kam_Latn,99195
afr_Latn-kik_Latn,127764
afr_Latn-kin_Latn,1042316
afr_Latn-kmb_Latn,115415
afr_Latn-knc_Arab,1516165
afr_Latn-knc_Latn,101078
afr_Latn-kon_Latn,199797
afr_Latn-lin_Latn,346128
afr_Latn-lua_Latn,272614
afr_Latn-lug_Latn,477039
afr_Latn-luo_Latn,309309
afr_Latn-nso_Latn,408589
afr_Latn-nus_Latn,51337
afr_Latn-nya_Latn,1149573
afr_Latn-run_Latn,538952
afr_Latn-sna_Latn,1293875
afr_Latn-som_Latn,1432523
afr_Latn-sot_Latn,1233451
afr_Latn-ssw_Latn,184251
afr_Latn-swh_Latn,2454143
afr_Latn-tir_Ethi,454330
afr_Latn-tsn_Latn,779255
afr_Latn-tso_Latn,554518
afr_Latn-tum_Latn,407317
afr_Latn-twi_Latn,567621
afr_Latn-umb_Latn,205246
afr_Latn-wol_Latn,237043
afr_Latn-xho_Latn,1361566
afr_Latn-yor_Latn,1775488
afr_Latn-zul_Latn,1771278
