label,chrF++,size
afr_Latn-xx,23.993749951242357,1770414
amh_Ethi-xx,21.482332548136117,291570
arb_Arab-xx,22.14317813264245,92455378
azj_Latn-xx,21.350239806074963,7179300
bel_Cyrl-xx,21.883121214252423,2156584
bul_Cyrl-xx,23.33335098165041,32555640
ben_Beng-xx,21.53644512010846,15183514
cat_Latn-xx,23.92040331012955,19438615
ceb_Latn-xx,23.05092654908973,415208
ces_Latn-xx,23.30292538924078,82262078
cym_Latn-xx,22.79960130202284,1066595
dan_Latn-xx,23.51304877397304,36884558
deu_Latn-xx,23.888332057234184,545956997
ell_Grek-xx,21.98327434485343,68739380
eng_Latn-xx,24.56054044370323,3928733379
epo_Latn-xx,23.45087962048595,560151
spa_Latn-xx,23.271016003811788,591272119
est_Latn-xx,22.801707618326752,10401882
eus_Latn-xx,22.035088135394584,2077113
pes_Arab-xx,22.33214700136937,81252911
fin_Latn-xx,22.272784415366,36807562
tgl_Latn-xx,23.02392792539449,2331209
fra_Latn-xx,23.7036221394,454229019
gle_Latn-xx,22.41941267187008,611457
gla_Latn-xx,21.23487348936361,201237
glg_Latn-xx,24.04284096117809,3762255
guj_Gujr-xx,21.92595763961549,1292191
hau_Latn-xx,21.202560145857376,363002
hin_Deva-xx,22.53896212208028,26946979
hat_Latn-xx,22.66094006381452,232354
hun_Latn-xx,22.35490092864605,56645732
hye_Armn-xx,22.36376413134421,3873029
ind_Latn-xx,23.524259816683017,19423746
ibo_Latn-xx,20.438209045194323,110582
isl_Latn-xx,22.032586838405557,3139312
ita_Latn-xx,23.492628221633165,267686115
heb_Hebr-xx,22.451621179522988,17607812
jpn_Jpan-xx,21.533516199859346,85461924
jav_Latn-xx,22.8335946682454,218969
kat_Geor-xx,21.81391712478491,3726808
kaz_Cyrl-xx,21.80776702874403,3421165
khm_Khmr-xx,22.45422946981677,1384128
kan_Knda-xx,21.453391018869496,1916445
kor_Hang-xx,21.27408450171696,24035493
kmr_Latn-xx,20.903098076067263,399027
kir_Cyrl-xx,21.16911706110622,1198504
ltz_Latn-xx,23.43877225990304,850921
lao_Laoo-xx,22.23926147541577,302612
lit_Latn-xx,22.2258676192084,18234466
lvs_Latn-xx,22.971056517100457,9882376
plt_Latn-xx,21.372263874043902,263321
mri_Latn-xx,19.632419401367414,148146
mkd_Cyrl-xx,23.383076025633997,3599707
mal_Mlym-xx,21.947186456222123,3604562
khk_Cyrl-xx,20.901881114320894,2947312
mar_Deva-xx,22.03969615996599,4555599
zsm_Latn-xx,23.46147079567548,4688036
mlt_Latn-xx,23.120792119320736,1109191
mya_Mymr-xx,20.22245988712571,1248242
npi_Deva-xx,22.28725228341698,4679412
nld_Latn-xx,22.7518992161902,136379427
nob_Latn-xx,23.21419171440772,30644684
nya_Latn-xx,20.341870280539453,114952
pan_Guru-xx,22.239809846786105,729394
pol_Latn-xx,22.573460980916053,178690573
por_Latn-xx,24.262839302016253,246401954
ron_Latn-xx,23.56506935598443,66499899
rus_Cyrl-xx,23.12382677097381,1014646036
snd_Arab-xx,21.542316978829277,210835
sin_Sinh-xx,21.182448209229708,846125
slk_Latn-xx,22.880505194967487,26721250
slv_Latn-xx,23.03841604149181,12381886
smo_Latn-xx,20.9530831240232,102125
sna_Latn-xx,20.28878319842982,124984
som_Latn-xx,20.331812432710866,1168106
als_Latn-xx,23.22749310216623,7023573
srp_Cyrl-xx,23.766728135003,4775217
sot_Latn-xx,21.35188280784943,99970
sun_Latn-xx,22.268619863453747,153302
swe_Latn-xx,23.43472786027955,63308307
swh_Latn-xx,22.238174352729164,1279408
tam_Taml-xx,21.45499638690469,5769533
tel_Telu-xx,22.03106683358613,2034828
tgk_Cyrl-xx,21.83442868933637,1563304
tha_Thai-xx,22.08080746967768,28021205
tur_Latn-xx,22.74654744809998,132662955
ukr_Cyrl-xx,22.696452828589223,56159593
urd_Arab-xx,21.794777420289,3432478
uzn_Latn-xx,22.067001772132897,1183603
vie_Latn-xx,21.835106321372763,132667573
xho_Latn-xx,21.55102430377842,122232
ydd_Hebr-xx,22.26780598832715,173510
yor_Latn-xx,17.965571488391678,86686
zho_Hant-xx,20.60550661033755,215327817
zul_Latn-xx,21.68557933698268,261239
