label,chrF++,size
xx-afr_Latn,29.720891811089565,1770414
xx-amh_Ethi,13.637399040435874,291570
xx-arb_Arab,22.083463162685728,92455378
xx-azj_Latn,23.04285836898305,7179300
xx-bel_Cyrl,21.68792025024115,2156584
xx-bul_Cyrl,28.29247349147461,32555640
xx-ben_Beng,21.66189611595178,15183514
xx-cat_Latn,28.21412914719428,19438615
xx-ceb_Latn,32.616573104337675,415208
xx-ces_Latn,22.728505690351493,82262078
xx-cym_Latn,25.408728903702045,1066595
xx-dan_Latn,28.53390059859796,36884558
xx-deu_Latn,27.944457300307,545956997
xx-ell_Grek,23.799069174936125,68739380
xx-eng_Latn,31.347822514271023,3928733379
xx-epo_Latn,30.311646382633672,560151
xx-spa_Latn,28.13748517322126,591272119
xx-est_Latn,25.70535189063461,10401882
xx-eus_Latn,26.75183562784167,2077113
xx-pes_Arab,24.6542366948604,81252911
xx-fin_Latn,25.73263097014405,36807562
xx-tgl_Latn,33.5523336999049,2331209
xx-fra_Latn,29.50613921869299,454229019
xx-gle_Latn,25.10132382468293,611457
xx-gla_Latn,25.57013796488506,201237
xx-glg_Latn,27.88366684726478,3762255
xx-guj_Gujr,22.206443010739758,1292191
xx-hau_Latn,26.04409093000644,363002
xx-hin_Deva,24.10204614933469,26946979
xx-hat_Latn,26.335376356137026,232354
xx-hun_Latn,24.169924321970544,56645732
xx-hye_Armn,25.268403287883505,3873029
xx-ind_Latn,31.45252785739343,19423746
xx-ibo_Latn,20.31779235326244,110582
xx-isl_Latn,22.6387726146282,3139312
xx-ita_Latn,26.66101763521064,267686115
xx-heb_Hebr,21.77209154635408,17607812
xx-jpn_Jpan,12.44580610933272,85461924
xx-jav_Latn,28.19616051530401,218969
xx-kat_Geor,24.91147271239063,3726808
xx-kaz_Cyrl,24.915685552645293,3421165
xx-khm_Khmr,21.447685184959617,1384128
xx-kan_Knda,24.44660304927664,1916445
xx-kor_Hang,12.002071926412071,24035493
xx-kmr_Latn,22.10163141023171,399027
xx-kir_Cyrl,22.807494670704084,1198504
xx-ltz_Latn,25.479955620353397,850921
xx-lao_Laoo,25.9772648464626,302612
xx-lit_Latn,24.738512317980938,18234466
xx-lvs_Latn,25.253549042184897,9882376
xx-plt_Latn,31.00376819616874,263321
xx-mri_Latn,29.163379809183237,148146
xx-mkd_Cyrl,27.92606324149485,3599707
xx-mal_Mlym,24.31859246433674,3604562
xx-khk_Cyrl,22.859705692904967,2947312
xx-mar_Deva,22.103035105792607,4555599
xx-zsm_Latn,31.60703701597103,4688036
xx-mlt_Latn,24.530980226014343,1109191
xx-mya_Mymr,25.625409210522605,1248242
xx-npi_Deva,22.83632076762029,4679412
xx-nld_Latn,26.956319558079883,136379427
xx-nob_Latn,26.89396660488159,30644684
xx-nya_Latn,25.426933070299512,114952
xx-pan_Guru,21.8815245033641,729394
xx-pol_Latn,22.884136232386695,178690573
xx-por_Latn,28.45243185605522,246401954
xx-ron_Latn,27.95519395295477,66499899
xx-rus_Cyrl,24.889406763681716,1014646036
xx-snd_Arab,21.02395730826624,210835
xx-sin_Sinh,21.11097891793002,846125
xx-slk_Latn,23.338178073533253,26721250
xx-slv_Latn,25.35156080858881,12381886
xx-smo_Latn,32.287606825073354,102125
xx-sna_Latn,23.43207575654064,124984
xx-som_Latn,23.47558587416816,1168106
xx-als_Latn,28.121932407843985,7023573
xx-srp_Cyrl,25.50997163589303,4775217
xx-sot_Latn,28.181831683129115,99970
xx-sun_Latn,26.822208966608308,153302
xx-swe_Latn,27.137585456094055,63308307
xx-swh_Latn,29.25495006679657,1279408
xx-tam_Taml,27.24236669205911,5769533
xx-tel_Telu,23.77196867060809,2034828
xx-tgk_Cyrl,25.45191530070901,1563304
xx-tha_Thai,22.92311774590418,28021205
xx-tur_Latn,25.08504953103162,132662955
xx-ukr_Cyrl,24.47288007630672,56159593
xx-urd_Arab,23.14097789225556,3432478
xx-uzn_Latn,26.036640294427187,1183603
xx-vie_Latn,24.73954616629502,132667573
xx-xho_Latn,22.873417104972457,122232
xx-ydd_Hebr,26.942680426843204,173510
xx-yor_Latn,11.806222493054154,86686
xx-zho_Hant,9.085257217756606,215327817
xx-zul_Latn,24.446748797200637,261239
