label,chrF++
ace_Arab-ace_Latn,23.863838783771293
ace_Arab-acm_Arab,18.465677988417774
ace_Arab-acq_Arab,18.696895895626124
ace_Arab-aeb_Arab,18.289974035604182
ace_Arab-afr_Latn,22.266750713789346
ace_Arab-ajp_Arab,16.31447705595271
ace_Arab-aka_Latn,11.925035544629683
ace_Arab-als_Latn,20.863876418110927
ace_Arab-amh_Ethi,10.400623099031078
ace_Arab-apc_Arab,17.518079553603055
ace_Arab-arb_Arab,17.684759840956705
ace_Arab-arb_Latn,18.463379861638625
ace_Arab-ars_Arab,16.790444318254487
ace_Arab-ary_Arab,17.447848270062398
ace_Arab-arz_Arab,18.754099164348283
ace_Arab-asm_Beng,16.501055264901183
ace_Arab-ast_Latn,17.961898623729773
ace_Arab-awa_Deva,16.125056582960827
ace_Arab-ayr_Latn,6.721825625109476
ace_Arab-azb_Arab,15.099965957401649
ace_Arab-azj_Latn,18.11872091057405
ace_Arab-bak_Cyrl,12.859751384448131
ace_Arab-bam_Latn,9.507650291757814
ace_Arab-ban_Latn,22.198849691522753
ace_Arab-bel_Cyrl,15.565555100371814
ace_Arab-bem_Latn,18.23639703772402
ace_Arab-ben_Beng,14.74260200835927
ace_Arab-bho_Deva,13.286857313500953
ace_Arab-bjn_Arab,14.45182317375291
ace_Arab-bjn_Latn,27.0944466611165
ace_Arab-bod_Tibt,11.43156629127618
ace_Arab-bos_Latn,15.92792801968746
ace_Arab-bug_Latn,15.075927092155972
ace_Arab-bul_Cyrl,19.62418647949092
ace_Arab-cat_Latn,22.389938256703147
ace_Arab-ceb_Latn,23.1312781066825
ace_Arab-ces_Latn,16.817493866176743
ace_Arab-cjk_Latn,8.672615519034888
ace_Arab-ckb_Arab,19.3024354194931
ace_Arab-crh_Latn,15.030638502761756
ace_Arab-cym_Latn,20.99158897784239
ace_Arab-dan_Latn,21.865273156911496
ace_Arab-deu_Latn,21.254224589015447
ace_Arab-dik_Latn,4.970220209947315
ace_Arab-dyu_Latn,5.4143024985730674
ace_Arab-dzo_Tibt,14.554495515728567
ace_Arab-ell_Grek,21.27625573008229
ace_Arab-eng_Latn,17.78757485814699
ace_Arab-epo_Latn,23.36091352625381
ace_Arab-est_Latn,19.17659691548576
ace_Arab-eus_Latn,17.313330968926117
ace_Arab-ewe_Latn,10.665703736788103
ace_Arab-fao_Latn,18.629134687105264
ace_Arab-fij_Latn,24.504343307649204
ace_Arab-fin_Latn,19.861057479533343
ace_Arab-fon_Latn,7.262351991396662
ace_Arab-fra_Latn,22.196650932893935
ace_Arab-fur_Latn,19.379101609676656
ace_Arab-fuv_Latn,3.4364336106461937
ace_Arab-gaz_Latn,7.914692440287705
ace_Arab-gla_Latn,21.964353504719373
ace_Arab-gle_Latn,20.89403344437761
ace_Arab-glg_Latn,21.726202808347857
ace_Arab-grn_Latn,16.613914697072047
ace_Arab-guj_Gujr,17.966046385527175
ace_Arab-hat_Latn,21.087213855375854
ace_Arab-hau_Latn,22.870697746403867
ace_Arab-heb_Hebr,15.906663277895833
ace_Arab-hin_Deva,16.02366314793054
ace_Arab-hne_Deva,16.231313104080826
ace_Arab-hrv_Latn,17.60731935714461
ace_Arab-hun_Latn,17.07588073062574
ace_Arab-hye_Armn,19.465617061619323
ace_Arab-ibo_Latn,11.595258042244112
ace_Arab-ilo_Latn,22.21562210823841
ace_Arab-ind_Latn,20.61258135122004
ace_Arab-isl_Latn,18.936575737453413
ace_Arab-ita_Latn,20.88494361674981
ace_Arab-jav_Latn,24.203501467198784
ace_Arab-jpn_Jpan,7.335706986665167
ace_Arab-kab_Latn,15.485832446773678
ace_Arab-kac_Latn,14.432149155981339
ace_Arab-kam_Latn,9.609697970097796
ace_Arab-kan_Knda,16.44658818776626
ace_Arab-kas_Arab,12.837100781030312
ace_Arab-kas_Deva,11.43554859132879
ace_Arab-kat_Geor,17.29842458693055
ace_Arab-kaz_Cyrl,17.965302650563693
ace_Arab-kbp_Latn,8.444158386509532
ace_Arab-kea_Latn,19.204266621538192
ace_Arab-khk_Cyrl,18.85462679903258
ace_Arab-khm_Khmr,15.627783136779167
ace_Arab-kik_Latn,15.869045189618344
ace_Arab-kin_Latn,16.8770959860636
ace_Arab-kir_Cyrl,17.61404146393261
ace_Arab-kmb_Latn,17.41455404291475
ace_Arab-kmr_Latn,18.92195634418742
ace_Arab-knc_Arab,7.384066451030978
ace_Arab-knc_Latn,8.747780522134144
ace_Arab-kon_Latn,23.135699549725715
ace_Arab-kor_Hang,8.561185982869045
ace_Arab-lao_Laoo,20.019561759713188
ace_Arab-lij_Latn,20.53762587608746
ace_Arab-lim_Latn,18.61557491605264
ace_Arab-lin_Latn,22.5525414753525
ace_Arab-lit_Latn,17.93681723780142
ace_Arab-lmo_Latn,16.109575108693132
ace_Arab-ltg_Latn,16.421940672621336
ace_Arab-ltz_Latn,17.467477021720025
ace_Arab-lua_Latn,18.995294907201092
ace_Arab-lug_Latn,15.627451270108578
ace_Arab-luo_Latn,13.930364993330862
ace_Arab-lus_Latn,17.025104151627506
ace_Arab-lvs_Latn,16.782859079717994
ace_Arab-mag_Deva,16.34363522618198
ace_Arab-mai_Deva,15.311888203677276
ace_Arab-mal_Mlym,18.076098148906283
ace_Arab-mar_Deva,15.73851546311236
ace_Arab-min_Arab,10.633340242723579
ace_Arab-min_Latn,26.579359443733942
ace_Arab-mkd_Cyrl,17.7870314377985
ace_Arab-mlt_Latn,19.17910703441698
ace_Arab-mni_Beng,16.597168065373126
ace_Arab-mos_Latn,6.550893313754752
ace_Arab-mri_Latn,26.404401372311632
ace_Arab-mya_Mymr,19.52912776340335
ace_Arab-nld_Latn,17.880163486318896
ace_Arab-nno_Latn,20.45021717276663
ace_Arab-nob_Latn,17.529624572478212
ace_Arab-npi_Deva,16.157416118324218
ace_Arab-nso_Latn,21.686754620898775
ace_Arab-nus_Latn,10.668930634943585
ace_Arab-nya_Latn,20.682728189812018
ace_Arab-oci_Latn,21.539437948812203
ace_Arab-ory_Orya,14.059199433211447
ace_Arab-pag_Latn,19.82087166098688
ace_Arab-pan_Guru,16.10768853589172
ace_Arab-pap_Latn,20.73358783754019
ace_Arab-pbt_Arab,15.140159586351103
ace_Arab-pes_Arab,15.786330184259596
ace_Arab-plt_Latn,24.87752905400469
ace_Arab-pol_Latn,17.828263206273242
ace_Arab-por_Latn,17.853385065861822
ace_Arab-prs_Arab,17.77666597661406
ace_Arab-quy_Latn,13.573612221365652
ace_Arab-ron_Latn,20.659420580720926
ace_Arab-run_Latn,17.44243166524359
ace_Arab-rus_Cyrl,20.930713396967032
ace_Arab-sag_Latn,19.997736069563604
ace_Arab-san_Deva,16.63441819491966
ace_Arab-sat_Olck,0.7066743531258184
ace_Arab-scn_Latn,18.468454758538424
ace_Arab-shn_Mymr,17.526539768541085
ace_Arab-sin_Sinh,16.22478021015559
ace_Arab-slk_Latn,19.281225703926903
ace_Arab-slv_Latn,19.1358059143064
ace_Arab-smo_Latn,28.655030334518283
ace_Arab-sna_Latn,19.99585883291088
ace_Arab-snd_Arab,14.413419915675044
ace_Arab-som_Latn,21.885722371887056
ace_Arab-sot_Latn,22.180420627807223
ace_Arab-spa_Latn,21.305324961325415
ace_Arab-srd_Latn,21.136508497098443
ace_Arab-srp_Cyrl,19.527656618241082
ace_Arab-ssw_Latn,20.533647384353053
ace_Arab-sun_Latn,22.02820881414593
ace_Arab-swe_Latn,20.165569435980025
ace_Arab-swh_Latn,20.555064223569914
ace_Arab-szl_Latn,13.48947334652188
ace_Arab-tam_Taml,20.494555609290003
ace_Arab-taq_Latn,5.857265218104205
ace_Arab-taq_Tfng,10.226249074783487
ace_Arab-tat_Cyrl,21.0455719381424
ace_Arab-tel_Telu,18.622966333400374
ace_Arab-tgk_Cyrl,20.152212614085606
ace_Arab-tgl_Latn,26.128847645100024
ace_Arab-tha_Thai,17.747448153216844
ace_Arab-tir_Ethi,7.275010277293535
ace_Arab-tpi_Latn,26.094263523315213
ace_Arab-tsn_Latn,23.071833716314615
ace_Arab-tso_Latn,21.352388416317464
ace_Arab-tuk_Latn,15.025636024057013
ace_Arab-tum_Latn,21.74717449038792
ace_Arab-tur_Latn,16.9718678618025
ace_Arab-twi_Latn,12.683429507841353
ace_Arab-tzm_Tfng,18.86770015271161
ace_Arab-uig_Arab,12.485721123566227
ace_Arab-ukr_Cyrl,17.799081054057076
ace_Arab-umb_Latn,11.859359806314258
ace_Arab-urd_Arab,18.88867723712234
ace_Arab-uzn_Latn,16.570360606100206
ace_Arab-vec_Latn,17.116467115317295
ace_Arab-vie_Latn,16.6946972810142
ace_Arab-war_Latn,26.651576812813193
ace_Arab-wol_Latn,11.29535188853884
ace_Arab-xho_Latn,16.36695088217135
ace_Arab-ydd_Hebr,21.928236767220042
ace_Arab-yor_Latn,7.899267374808957
ace_Arab-yue_Hant,3.666796314870128
ace_Arab-zho_Hans,8.043406749857635
ace_Arab-zho_Hant,7.497273820322911
ace_Arab-zsm_Latn,21.19942300378533
ace_Arab-zul_Latn,18.52014040449307
ace_Latn-ace_Arab,21.263670639934716
ace_Latn-acm_Arab,23.91542434321635
ace_Latn-acq_Arab,21.5029529596425
ace_Latn-aeb_Arab,23.359906984509188
ace_Latn-afr_Latn,29.286078003994227
ace_Latn-ajp_Arab,23.98089697164271
ace_Latn-aka_Latn,20.41974619643091
ace_Latn-als_Latn,28.4911316244341
ace_Latn-amh_Ethi,15.547437276301068
ace_Latn-apc_Arab,25.234900770733887
ace_Latn-arb_Arab,21.942718401583395
ace_Latn-arb_Latn,19.253172584566794
ace_Latn-ars_Arab,20.547759155876225
