label,chrF++
xx-ace_Arab,15.992236753741345
xx-ace_Latn,26.99272017274054
xx-acm_Arab,23.591562813649915
xx-acq_Arab,23.434571999083325
xx-aeb_Arab,22.595882364529444
xx-afr_Latn,32.998729341508536
xx-ajp_Arab,24.624361311991922
xx-aka_Latn,17.270793101562948
xx-als_Latn,30.601388494678243
xx-amh_Ethi,15.260471035568754
xx-apc_Arab,23.81019962225449
xx-arb_Arab,24.161448400342568
xx-arb_Latn,20.688457290072318
xx-ars_Arab,23.850876388999797
xx-ary_Arab,21.77373910603052
xx-arz_Arab,23.270429255349864
xx-asm_Beng,19.917138962503746
xx-ast_Latn,29.387161513053208
xx-awa_Deva,24.989019591272456
xx-ayr_Latn,12.539017213704188
xx-azb_Arab,20.547574637952753
xx-azj_Latn,24.41708008258359
xx-bak_Cyrl,22.912636694202096
xx-bam_Latn,14.311772768904717
xx-ban_Latn,28.900253066867656
xx-bel_Cyrl,22.8154640705042
xx-bem_Latn,22.90622834903503
xx-ben_Beng,23.73603872875917
xx-bho_Deva,23.23173279430255
xx-bjn_Arab,15.562880853313581
xx-bjn_Latn,29.709267007012315
xx-bod_Tibt,13.801306051147217
xx-bos_Latn,26.570125221484442
xx-bug_Latn,18.692363845306627
xx-bul_Cyrl,31.143505185606884
xx-cat_Latn,31.69381543396132
xx-ceb_Latn,34.675809438917284
xx-ces_Latn,24.92057799657848
xx-cjk_Latn,11.49298687936289
xx-ckb_Arab,23.10072400726206
xx-crh_Latn,22.979125389591477
xx-cym_Latn,28.16619318500417
xx-dan_Latn,32.05725322737964
xx-deu_Latn,30.58911337676566
xx-dik_Latn,6.731015247080839
xx-dyu_Latn,6.766092847053636
xx-dzo_Tibt,16.478504804288292
xx-ell_Grek,26.208153701980642
xx-eng_Latn,34.606498128884574
xx-epo_Latn,33.55555742825727
xx-est_Latn,27.89561900983792
xx-eus_Latn,28.321622170875543
xx-ewe_Latn,16.374180695452452
xx-fao_Latn,25.493849878981674
xx-fij_Latn,29.58647034968372
xx-fin_Latn,27.766501380083785
xx-fon_Latn,8.490258016337505
xx-fra_Latn,33.09634182423563
xx-fur_Latn,27.978194544372254
xx-fuv_Latn,4.312382291466385
xx-gaz_Latn,14.964331255761994
xx-gla_Latn,27.244266661646577
xx-gle_Latn,26.962556870469413
xx-glg_Latn,31.036488555136565
xx-grn_Latn,19.057744961615132
xx-guj_Gujr,24.571527178228465
xx-hat_Latn,28.66134279191647
xx-hau_Latn,28.585936232354776
xx-heb_Hebr,23.516379691063523
xx-hin_Deva,26.656665852465427
xx-hne_Deva,25.39400332284627
xx-hrv_Latn,25.611198468539513
xx-hun_Latn,25.867608136741683
xx-hye_Armn,27.704923369730977
xx-ibo_Latn,22.48418491544814
xx-ilo_Latn,32.29894125788703
xx-ind_Latn,34.986233469114076
xx-isl_Latn,24.294980245346657
xx-ita_Latn,28.91101403287334
xx-jav_Latn,30.740222350730058
xx-jpn_Jpan,13.007940254835676
xx-kab_Latn,17.124668587049825
xx-kac_Latn,18.520189604835828
xx-kam_Latn,14.040426096475061
xx-kan_Knda,25.682898416199663
xx-kas_Arab,15.321257081956496
xx-kas_Deva,12.888166447026325
xx-kat_Geor,26.470010490927915
xx-kaz_Cyrl,27.06647417966977
xx-kbp_Latn,10.793469662991209
xx-kea_Latn,30.42691638153878
xx-khk_Cyrl,24.63955361415362
xx-khm_Khmr,22.93881275001072
xx-kik_Latn,17.29199678529794
xx-kin_Latn,26.102274226555082
xx-kir_Cyrl,24.238773760197297
