label,chrF++,size
xx-afr_Latn,32.998729341508536,1770414
xx-amh_Ethi,15.260471035568754,291570
xx-arb_Arab,24.161448400342568,92455378
xx-azj_Latn,24.41708008258359,7179300
xx-bel_Cyrl,22.8154640705042,2156584
xx-bul_Cyrl,31.143505185606884,32555640
xx-ben_Beng,23.73603872875917,15183514
xx-cat_Latn,31.69381543396132,19438615
xx-ceb_Latn,34.675809438917284,415208
xx-ces_Latn,24.92057799657848,82262078
xx-cym_Latn,28.16619318500417,1066595
xx-dan_Latn,32.05725322737964,36884558
xx-deu_Latn,30.58911337676566,545956997
xx-ell_Grek,26.20815370198064,68739380
xx-eng_Latn,34.606498128884574,3928733379
xx-epo_Latn,33.55555742825727,560151
xx-spa_Latn,30.38974341745937,591272119
xx-est_Latn,27.89561900983792,10401882
xx-eus_Latn,28.321622170875543,2077113
xx-pes_Arab,27.05416749138828,81252911
xx-fin_Latn,27.766501380083785,36807562
xx-tgl_Latn,36.12378036216486,2331209
xx-fra_Latn,33.09634182423563,454229019
xx-gle_Latn,26.962556870469413,611457
xx-gla_Latn,27.244266661646577,201237
xx-glg_Latn,31.036488555136565,3762255
xx-guj_Gujr,24.571527178228465,1292191
xx-hau_Latn,28.585936232354776,363002
xx-hin_Deva,26.656665852465427,26946979
xx-hat_Latn,28.66134279191647,232354
xx-hun_Latn,25.867608136741683,56645732
xx-hye_Armn,27.704923369730977,3873029
xx-ind_Latn,34.98623346911408,19423746
xx-ibo_Latn,22.48418491544814,110582
xx-isl_Latn,24.294980245346657,3139312
xx-ita_Latn,28.91101403287334,267686115
xx-heb_Hebr,23.516379691063523,17607812
xx-jpn_Jpan,13.007940254835676,85461924
xx-jav_Latn,30.740222350730058,218969
xx-kat_Geor,26.470010490927915,3726808
xx-kaz_Cyrl,27.06647417966977,3421165
xx-khm_Khmr,22.93881275001072,1384128
xx-kan_Knda,25.682898416199663,1916445
xx-kor_Hang,13.01631891751984,24035493
xx-kmr_Latn,24.17669157591985,399027
xx-kir_Cyrl,24.238773760197297,1198504
xx-ltz_Latn,28.246354508350837,850921
xx-lao_Laoo,27.860497747387477,302612
xx-lit_Latn,26.62604980470501,18234466
xx-lvs_Latn,27.459793184769328,9882376
xx-plt_Latn,32.868245153809525,263321
xx-mri_Latn,31.696649599383807,148146
xx-mkd_Cyrl,30.80934554555106,3599707
xx-mal_Mlym,25.903663887141093,3604562
xx-khk_Cyrl,24.63955361415362,2947312
xx-mar_Deva,23.770180041237246,4555599
xx-zsm_Latn,34.51800245127468,4688036
xx-mlt_Latn,26.60849194155323,1109191
xx-mya_Mymr,27.11094869726088,1248242
xx-npi_Deva,25.607881903840635,4679412
xx-nld_Latn,29.13271238121305,136379427
xx-nob_Latn,29.36828658706635,30644684
xx-nya_Latn,27.66365489788021,114952
xx-pan_Guru,24.120647387615403,729394
xx-pol_Latn,24.563191324095644,178690573
xx-por_Latn,32.18868753475155,246401954
xx-ron_Latn,30.63159206809581,66499899
xx-rus_Cyrl,27.168937561597485,1014646036
xx-snd_Arab,23.62288479674536,210835
xx-sin_Sinh,22.5069716030413,846125
xx-slk_Latn,25.78587940241549,26721250
xx-slv_Latn,27.41418767842771,12381886
xx-smo_Latn,34.5680190959108,102125
xx-sna_Latn,24.776760941594024,124984
xx-som_Latn,24.747944773027047,1168106
xx-als_Latn,30.601388494678243,7023573
xx-srp_Cyrl,28.164499185758828,4775217
xx-sot_Latn,31.697296646847235,99970
xx-sun_Latn,28.832893172747863,153302
xx-swe_Latn,30.262970758787397,63308307
xx-swh_Latn,31.682072841916977,1279408
xx-tam_Taml,28.947478504382637,5769533
xx-tel_Telu,25.68585816588399,2034828
xx-tgk_Cyrl,27.04432374656793,1563304
xx-tha_Thai,24.51621526937728,28021205
xx-tur_Latn,27.23544207689873,132662955
xx-ukr_Cyrl,27.054506423451866,56159593
xx-urd_Arab,25.22682462357441,3432478
xx-uzn_Latn,27.950170166206878,1183603
xx-vie_Latn,27.315501805182908,132667573
xx-xho_Latn,24.617480328916315,122232
xx-ydd_Hebr,29.61812039852383,173510
xx-yor_Latn,14.881647152259312,86686
xx-zho_Hant,9.859480803598604,215327817
xx-zul_Latn,26.74325040684733,261239
