label,chrF++_baseline,chrF++_scaffold,chrF++_packed
xx-Arab,20.0,22.4,21.2
xx-Cyrl,29.0,27.8,26.5
xx-Latn,24.0,26.4,24.8
xx-other,22.1,23.2,22.3
Arab-xx,23.0,24.8,23.5
Cyrl-xx,25.5,28.2,26.0
Latn-xx,23.6,25.5,24.1
other-xx,23.1,25.3,23.8
Arab-Arab,21.2,23.2,21.7
Arab-Cyrl,28.6,27.4,26.3
Arab-Latn,23.1,25.3,23.9
Arab-other,21.7,22.9,22.0
Cyrl-Arab,21.8,25.1,23.2
Cyrl-Cyrl,34.5,33.4,31.1
Cyrl-Latn,25.6,28.9,26.5
Cyrl-other,24.1,26.0,24.4
Latn-Arab,19.7,21.9,21.0
Latn-Cyrl,28.8,27.3,26.3
Latn-Latn,24.2,26.6,24.9
Latn-other,21.8,22.7,21.9
other-Arab,19.9,22.5,21.1
other-Cyrl,28.6,27.8,26.4
other-Latn,23.2,25.9,24.2
other-other,22.6,24.1,22.7
