label,chrF++
ace_Arab-xx,17.40202429485507
ace_Latn-xx,23.245315934821697
acm_Arab-xx,25.650701614546374
acq_Arab-xx,26.189366418144193
aeb_Arab-xx,24.250518021295097
afr_Latn-xx,28.29930764312652
ajp_Arab-xx,26.318118681006688
aka_Latn-xx,20.491651543395804
als_Latn-xx,26.980186431303636
amh_Ethi-xx,24.277183757858612
apc_Arab-xx,25.482849791839122
arb_Arab-xx,25.754536730842915
arb_Latn-xx,18.61783972568778
ars_Arab-xx,25.66336092708335
ary_Arab-xx,24.19031675986912
arz_Arab-xx,25.1204430696457
asm_Beng-xx,23.197501150605706
ast_Latn-xx,26.189901429498907
awa_Deva-xx,25.080519749121148
ayr_Latn-xx,16.101006639285316
azb_Arab-xx,21.70458596707663
azj_Latn-xx,24.054699771488906
bak_Cyrl-xx,24.494984279698365
bam_Latn-xx,18.712069715271586
ban_Latn-xx,25.5604607345728
bel_Cyrl-xx,24.507289367197355
bem_Latn-xx,21.10377186187299
ben_Beng-xx,24.886720937557467
bho_Deva-xx,24.14762310895101
bjn_Arab-xx,17.50672376513556
bjn_Latn-xx,25.449097462833254
bod_Tibt-xx,15.99871153796864
bos_Latn-xx,26.447248460100138
bug_Latn-xx,20.754581392736398
bul_Cyrl-xx,26.88333413330859
cat_Latn-xx,27.561263833178153
ceb_Latn-xx,27.300812418625718
ces_Latn-xx,26.937174415500863
cjk_Latn-xx,17.43176719320151
ckb_Arab-xx,22.856849520111968
crh_Latn-xx,23.916101009971275
cym_Latn-xx,26.936616233141525
dan_Latn-xx,27.561498757371368
deu_Latn-xx,27.581242346226553
dik_Latn-xx,15.955293698634476
dyu_Latn-xx,16.23486404328398
dzo_Tibt-xx,15.079058150701588
ell_Grek-xx,25.509505508152337
eng_Latn-xx,29.025347541646322
epo_Latn-xx,27.25041298606169
est_Latn-xx,26.31185120811692
eus_Latn-xx,25.687673717957132
ewe_Latn-xx,19.110163442563096
fao_Latn-xx,25.37775452466012
fij_Latn-xx,20.63605468282972
fin_Latn-xx,25.72027503781059
fon_Latn-xx,16.91478494709478
fra_Latn-xx,27.464243905038373
fur_Latn-xx,26.368891133362837
fuv_Latn-xx,17.453736010292975
gaz_Latn-xx,20.264955498877416
gla_Latn-xx,24.473219519845117
gle_Latn-xx,25.872549965906856
glg_Latn-xx,27.84131809699516
grn_Latn-xx,20.01935561926976
guj_Gujr-xx,25.079547660735397
hat_Latn-xx,26.194505399235084
hau_Latn-xx,24.707511918640968
heb_Hebr-xx,25.969678083177072
hin_Deva-xx,25.97789321429739
hne_Deva-xx,25.797022476429703
hrv_Latn-xx,26.169891315322058
hun_Latn-xx,25.840197032005126
hye_Armn-xx,25.727028546426755
ibo_Latn-xx,23.297027848440695
ilo_Latn-xx,24.487677382138994
ind_Latn-xx,27.30652163221874
isl_Latn-xx,25.229958166682692
ita_Latn-xx,26.959486507469833
jav_Latn-xx,26.397324644005522
jpn_Jpan-xx,24.212369797995784
kab_Latn-xx,16.84171640266438
kac_Latn-xx,18.173240901482885
kam_Latn-xx,19.021022925831524
kan_Knda-xx,24.304365232353963
kas_Arab-xx,22.09666184744688
kas_Deva-xx,20.13303693298461
kat_Geor-xx,25.029902836601497
kaz_Cyrl-xx,24.84481888404542
kbp_Latn-xx,16.548519516255123
kea_Latn-xx,25.96098088044051
khk_Cyrl-xx,23.70494276288295
khm_Khmr-xx,25.769718830354986
kik_Latn-xx,19.571919704500285
kin_Latn-xx,23.600558613190117
kir_Cyrl-xx,23.98010971948576
kmb_Latn-xx,18.79720586474927
kmr_Latn-xx,23.987379072445385
knc_Arab-xx,12.896328024215345
knc_Latn-xx,17.222505816549624
kon_Latn-xx,20.977642159519945
kor_Hang-xx,24.44097030243193
lao_Laoo-xx,25.789157849881704
lij_Latn-xx,25.978556237680923
lim_Latn-xx,24.971804626283443
lin_Latn-xx,21.797735185126115
lit_Latn-xx,25.45969296576866
lmo_Latn-xx,26.165730369138533
ltg_Latn-xx,24.04972271764344
ltz_Latn-xx,27.346729145733246
lua_Latn-xx,20.14301093026951
lug_Latn-xx,20.683755761352906
luo_Latn-xx,18.969648585871525
lus_Latn-xx,20.717846006364812
lvs_Latn-xx,26.246911648567917
mag_Deva-xx,26.02109099132484
mai_Deva-xx,25.886321653015226
mal_Mlym-xx,24.826678700331314
mar_Deva-xx,25.212980094588584
min_Arab-xx,17.920484758815462
min_Latn-xx,24.388601177626345
mkd_Cyrl-xx,27.075574812528775
mlt_Latn-xx,27.325746546753
mni_Beng-xx,17.977306538673293
mos_Latn-xx,16.433681597523456
mri_Latn-xx,22.322927809683595
mya_Mymr-xx,23.118807225869748
nld_Latn-xx,25.94485501218208
nno_Latn-xx,27.62788791480163
nob_Latn-xx,27.187827841710703
npi_Deva-xx,25.419062456085317
nso_Latn-xx,24.33103026257806
nus_Latn-xx,15.824896057079977
nya_Latn-xx,23.100897246344022
oci_Latn-xx,27.93839515008528
ory_Orya-xx,22.185939039994047
pag_Latn-xx,21.92771154801669
pan_Guru-xx,25.453268069024126
pap_Latn-xx,27.092379106839125
pbt_Arab-xx,24.854916138079826
pes_Arab-xx,25.820622063748665
plt_Latn-xx,24.906950434452117
pol_Latn-xx,26.03627524861135
por_Latn-xx,28.53081401398569
prs_Arab-xx,25.96643218784484
quy_Latn-xx,18.411489714201064
ron_Latn-xx,27.47041839037229
run_Latn-xx,22.778142039509756
rus_Cyrl-xx,26.243963035173678
sag_Latn-xx,19.15369940304325
san_Deva-xx,22.533599722418
sat_Olck-xx,11.479614892118912
scn_Latn-xx,25.643712379140858
shn_Mymr-xx,20.707467205623402
sin_Sinh-xx,24.40429496779317
slk_Latn-xx,26.556590853890643
slv_Latn-xx,26.41130552548966
smo_Latn-xx,24.320790326454368
sna_Latn-xx,23.157477828170997
snd_Arab-xx,24.814907785317857
som_Latn-xx,23.673935329077537
sot_Latn-xx,24.68540506431912
spa_Latn-xx,26.88047998336217
srd_Latn-xx,26.851827971324592
srp_Cyrl-xx,27.336922924131784
ssw_Latn-xx,22.505794964219387
sun_Latn-xx,25.818991632663778
swe_Latn-xx,27.332408192205467
swh_Latn-xx,25.88042454512467
szl_Latn-xx,25.478712018655457
tam_Taml-xx,24.49920232025607
taq_Latn-xx,16.86494691956211
taq_Tfng-xx,13.925447257023283
tat_Cyrl-xx,25.1613587201302
tel_Telu-xx,25.304732546905385
tgk_Cyrl-xx,25.37134736394014
tgl_Latn-xx,27.10877153754615
tha_Thai-xx,25.368924316572013
tir_Ethi-xx,21.728098510278585
tpi_Latn-xx,23.556827723037234
tsn_Latn-xx,23.131772577987416
tso_Latn-xx,21.057290472283047
tuk_Latn-xx,23.480447421170293
tum_Latn-xx,21.810174264473062
tur_Latn-xx,26.27651017588738
twi_Latn-xx,20.581318858644547
tzm_Tfng-xx,16.134718558383344
uig_Arab-xx,20.122316757484516
ukr_Cyrl-xx,25.79985775925484
umb_Latn-xx,18.138319405240303
urd_Arab-xx,24.508663428719704
uzn_Latn-xx,25.3288316408931
vec_Latn-xx,25.889594578125706
vie_Latn-xx,25.532786894997095
war_Latn-xx,26.751604131271172
wol_Latn-xx,17.485738661684938
xho_Latn-xx,24.987785375387627
ydd_Hebr-xx,25.724462547808223
yor_Latn-xx,20.735405148457737
yue_Hant-xx,24.35486233002841
zho_Hans-xx,24.069536439659274
zho_Hant-xx,22.934060097422083
zsm_Latn-xx,27.502301609149963
zul_Latn-xx,24.94371358415662
