label,chrF++,size
xx-afr_Latn,35.802462468931324,1770414
xx-amh_Ethi,15.529134281783112,291570
xx-arb_Arab,27.485538736814785,92455378
xx-azj_Latn,26.369803498661938,7179300
xx-bel_Cyrl,25.12614967842442,2156584
xx-bul_Cyrl,35.29229348733961,32555640
xx-ben_Beng,25.53994535125726,15183514
xx-cat_Latn,34.64218903126909,19438615
xx-ceb_Latn,36.47691808705149,415208
xx-ces_Latn,28.135016814565045,82262078
xx-cym_Latn,29.34268711738028,1066595
xx-dan_Latn,35.36490864666069,36884558
xx-deu_Latn,34.20752150988341,545956997
xx-ell_Grek,28.764828063781025,68739380
xx-eng_Latn,41.02434260639611,3928733379
xx-epo_Latn,36.60221211090367,560151
xx-spa_Latn,32.87699123181565,591272119
xx-est_Latn,31.46468123470992,10401882
xx-eus_Latn,30.73036347009808,2077113
xx-pes_Arab,29.269620892474453,81252911
xx-fin_Latn,30.750502746868825,36807562
xx-tgl_Latn,38.09560840557643,2331209
xx-fra_Latn,36.04787824700745,454229019
xx-gle_Latn,28.77705328780345,611457
xx-gla_Latn,26.496251822357863,201237
xx-glg_Latn,33.18249876680232,3762255
xx-guj_Gujr,25.83523692834577,1292191
xx-hau_Latn,29.851904883926768,363002
xx-hin_Deva,28.589001189931484,26946979
xx-hat_Latn,31.41967477569965,232354
xx-hun_Latn,29.044550404341575,56645732
xx-hye_Armn,29.95262453406965,3873029
xx-ind_Latn,38.84711815208672,19423746
xx-ibo_Latn,22.52598062870236,110582
xx-isl_Latn,26.751777199983213,3139312
xx-ita_Latn,31.58360190307623,267686115
xx-heb_Hebr,26.78108023210016,17607812
xx-jpn_Jpan,15.713829920477677,85461924
xx-jav_Latn,32.80103669269908,218969
xx-kat_Geor,28.842668920030963,3726808
xx-kaz_Cyrl,29.276679256693438,3421165
xx-khm_Khmr,24.78537282793452,1384128
xx-kan_Knda,27.973979641745387,1916445
xx-kor_Hang,15.337839236227335,24035493
xx-kmr_Latn,25.664932097961994,399027
xx-kir_Cyrl,26.489748238820432,1198504
xx-ltz_Latn,30.137080293787697,850921
xx-lao_Laoo,30.375703798778268,302612
xx-lit_Latn,30.203519381237623,18234466
xx-lvs_Latn,30.96422402419224,9882376
xx-plt_Latn,34.57820046264668,263321
xx-mri_Latn,31.31412543609928,148146
xx-mkd_Cyrl,34.389487774323925,3599707
xx-mal_Mlym,28.05907013801734,3604562
xx-khk_Cyrl,26.055514409965053,2947312
xx-mar_Deva,24.74604876439017,4555599
xx-zsm_Latn,38.07574725310688,4688036
xx-mlt_Latn,27.943572907325308,1109191
xx-mya_Mymr,28.04680643008341,1248242
xx-npi_Deva,26.4416969952915,4679412
xx-nld_Latn,32.36071678047045,136379427
xx-nob_Latn,32.80362611085897,30644684
xx-nya_Latn,28.14972133624696,114952
xx-pan_Guru,25.018738701076487,729394
xx-pol_Latn,27.389089661327887,178690573
xx-por_Latn,35.777456720231065,246401954
xx-ron_Latn,34.064263718340975,66499899
xx-rus_Cyrl,30.76352766937272,1014646036
xx-snd_Arab,22.335228340515453,210835
xx-sin_Sinh,24.070141097981093,846125
xx-slk_Latn,29.25154234806203,26721250
xx-slv_Latn,30.615533049632752,12381886
xx-smo_Latn,35.67925514297333,102125
xx-sna_Latn,26.069817560156267,124984
xx-som_Latn,25.614092608685876,1168106
xx-als_Latn,33.032604170915604,7023573
xx-srp_Cyrl,31.495057449874142,4775217
xx-sot_Latn,31.030741223305046,99970
xx-sun_Latn,31.231551329613787,153302
xx-swe_Latn,34.36877734877722,63308307
xx-swh_Latn,34.08360037207536,1279408
xx-tam_Taml,31.04263597690154,5769533
xx-tel_Telu,27.866628420588125,2034828
xx-tgk_Cyrl,28.192652609410867,1563304
xx-tha_Thai,28.12146594618371,28021205
xx-tur_Latn,30.26474465118949,132662955
xx-ukr_Cyrl,29.99324431596954,56159593
xx-urd_Arab,26.86110092736409,3432478
xx-uzn_Latn,30.17389827270442,1183603
xx-vie_Latn,30.31911852538941,132667573
xx-xho_Latn,26.29446132116458,122232
xx-ydd_Hebr,30.419028659118947,173510
xx-yor_Latn,11.1502066767917,86686
xx-zho_Hant,11.786397206820869,215327817
xx-zul_Latn,27.38012851545152,261239
