label,chrF++
ace_Arab-xx,17.78712427989412
ace_Latn-xx,23.717684470430907
acm_Arab-xx,26.10263539896078
acq_Arab-xx,26.515543656704743
aeb_Arab-xx,24.934615967744406
afr_Latn-xx,27.87329660252018
ajp_Arab-xx,26.363496249641482
aka_Latn-xx,21.29956215501317
als_Latn-xx,27.173004219357246
amh_Ethi-xx,24.909452642633333
apc_Arab-xx,25.645245146799077
arb_Arab-xx,26.06237799940591
arb_Latn-xx,19.061359499446777
ars_Arab-xx,25.999436307543277
ary_Arab-xx,24.53048013658673
arz_Arab-xx,25.75536266873489
asm_Beng-xx,23.85285370772236
ast_Latn-xx,26.3869659956672
awa_Deva-xx,25.96944077998298
ayr_Latn-xx,16.924769760676973
azb_Arab-xx,22.095633301918568
azj_Latn-xx,25.064093723169112
bak_Cyrl-xx,25.247942469065844
bam_Latn-xx,19.06013967747459
ban_Latn-xx,25.741040076102458
bel_Cyrl-xx,25.39813086650134
bem_Latn-xx,21.73469307823097
ben_Beng-xx,25.43579736253303
bho_Deva-xx,25.182568457024026
bjn_Arab-xx,17.96494437712567
bjn_Latn-xx,25.81822789088779
bod_Tibt-xx,17.077321608266907
bos_Latn-xx,26.903835831237778
bug_Latn-xx,21.623156815446322
bul_Cyrl-xx,27.155081887735953
cat_Latn-xx,27.832564377424017
ceb_Latn-xx,27.15658525855516
ces_Latn-xx,27.13647142826425
cjk_Latn-xx,18.530515398648593
ckb_Arab-xx,23.379159233947657
crh_Latn-xx,24.460520257157896
cym_Latn-xx,26.993233518167486
dan_Latn-xx,27.615601058117782
deu_Latn-xx,27.69375333348705
dik_Latn-xx,17.14457956590584
dyu_Latn-xx,17.256378170095832
dzo_Tibt-xx,15.948802755044813
ell_Grek-xx,26.068198694629512
eng_Latn-xx,28.792101445656005
epo_Latn-xx,27.60801497787887
est_Latn-xx,26.922494205028467
eus_Latn-xx,26.23186928128979
ewe_Latn-xx,19.56454376054076
fao_Latn-xx,25.848623122438163
fij_Latn-xx,21.25259310142367
fin_Latn-xx,26.36057949950984
fon_Latn-xx,17.701732611666117
fra_Latn-xx,27.75693497257633
fur_Latn-xx,26.324061912151368
fuv_Latn-xx,18.00978590927997
gaz_Latn-xx,20.772385149201646
gla_Latn-xx,24.83056239422247
gle_Latn-xx,26.403160902598348
glg_Latn-xx,27.74520158078112
grn_Latn-xx,20.69750071383241
guj_Gujr-xx,25.612521385974933
hat_Latn-xx,26.31644127956757
hau_Latn-xx,25.144263573952085
heb_Hebr-xx,26.248937396243132
hin_Deva-xx,26.407846752764492
hne_Deva-xx,26.14810067151845
hrv_Latn-xx,26.38585922111161
hun_Latn-xx,26.622364823238687
hye_Armn-xx,26.40925575627441
ibo_Latn-xx,23.662030966338094
ilo_Latn-xx,24.819879658421133
ind_Latn-xx,27.39605703731752
isl_Latn-xx,25.89489917893791
ita_Latn-xx,27.367120343425515
jav_Latn-xx,26.492934005009804
jpn_Jpan-xx,25.099562372386668
kab_Latn-xx,17.829362741727653
kac_Latn-xx,18.991405924582857
kam_Latn-xx,19.472729215098898
kan_Knda-xx,25.189574286982523
kas_Arab-xx,22.798235672983214
kas_Deva-xx,20.89162201436259
kat_Geor-xx,25.55742940547969
kaz_Cyrl-xx,25.821738653016435
kbp_Latn-xx,17.15798939914215
kea_Latn-xx,26.182698200903427
khk_Cyrl-xx,24.84776080252023
khm_Khmr-xx,26.490597239305735
kik_Latn-xx,20.373983466241945
kin_Latn-xx,24.03503679693063
kir_Cyrl-xx,24.875580549275703
kmb_Latn-xx,19.72615784324942
kmr_Latn-xx,24.48546586914068
knc_Arab-xx,13.852776347302262
knc_Latn-xx,17.99579793104425
kon_Latn-xx,21.70686754701957
kor_Hang-xx,25.061289749868145
lao_Laoo-xx,26.102045878664782
lij_Latn-xx,26.082040820468354
lim_Latn-xx,25.61220060993038
lin_Latn-xx,22.38505832314292
lit_Latn-xx,26.136393036102362
lmo_Latn-xx,26.12834780198886
ltg_Latn-xx,24.584898628774283
ltz_Latn-xx,27.13347458222848
lua_Latn-xx,20.874994216250144
lug_Latn-xx,21.019629570210533
luo_Latn-xx,19.680176443128218
lus_Latn-xx,21.240985313908737
lvs_Latn-xx,26.739014287122583
mag_Deva-xx,26.427178576026332
mai_Deva-xx,26.4227678184505
mal_Mlym-xx,25.668815937236676
mar_Deva-xx,25.757978931018993
min_Arab-xx,18.34323091601524
min_Latn-xx,25.01940857421463
mkd_Cyrl-xx,27.0952769229309
mlt_Latn-xx,27.489550670428525
mni_Beng-xx,18.544893530601296
mos_Latn-xx,17.595261385835425
mri_Latn-xx,23.508172863595114
mya_Mymr-xx,24.123901885265912
nld_Latn-xx,26.72182649778017
nno_Latn-xx,27.61425051424901
nob_Latn-xx,27.40900886754991
npi_Deva-xx,26.13500609701297
nso_Latn-xx,24.715883841139032
nus_Latn-xx,16.396294183297574
nya_Latn-xx,23.716075028256064
oci_Latn-xx,27.984728273826427
ory_Orya-xx,23.43806867302384
pag_Latn-xx,22.864287362292536
pan_Guru-xx,26.14707749881207
pap_Latn-xx,26.947125090398405
pbt_Arab-xx,25.368204659351683
pes_Arab-xx,26.09901165122311
plt_Latn-xx,25.79129555168992
pol_Latn-xx,26.398360661336845
por_Latn-xx,28.080865261375948
prs_Arab-xx,26.690322982599202
quy_Latn-xx,19.12013380800805
ron_Latn-xx,27.67021639682995
run_Latn-xx,23.308859581578385
rus_Cyrl-xx,26.787877251096226
sag_Latn-xx,20.322494110593304
san_Deva-xx,23.064875480383588
sat_Olck-xx,12.024765387022489
scn_Latn-xx,25.460893368118025
shn_Mymr-xx,22.179253801911468
sin_Sinh-xx,25.103646018281832
slk_Latn-xx,26.935583293916388
slv_Latn-xx,26.765083400023688
smo_Latn-xx,24.82288007350057
sna_Latn-xx,23.310246886491083
snd_Arab-xx,24.952896489592803
som_Latn-xx,24.168322926353802
sot_Latn-xx,25.01484253737396
spa_Latn-xx,27.080998762066887
srd_Latn-xx,26.750914250921497
srp_Cyrl-xx,27.19189775645525
ssw_Latn-xx,23.208557623524577
sun_Latn-xx,26.22346435167195
swe_Latn-xx,27.444597384659307
swh_Latn-xx,25.99887189145757
szl_Latn-xx,25.780051973772377
tam_Taml-xx,24.933561354395756
taq_Latn-xx,17.72004172455285
taq_Tfng-xx,15.095280480183689
tat_Cyrl-xx,25.588543147560472
tel_Telu-xx,25.858585873826584
tgk_Cyrl-xx,26.12930944656312
tgl_Latn-xx,27.00932133835638
tha_Thai-xx,26.293879761931034
tir_Ethi-xx,22.394388551347888
tpi_Latn-xx,24.184747011038944
tsn_Latn-xx,23.912434797527602
tso_Latn-xx,21.896231861811806
tuk_Latn-xx,24.150824987353385
tum_Latn-xx,22.92417889145471
