label,chrF++,size
afr_Latn-xx,27.87329660252018,1770414
amh_Ethi-xx,24.909452642633333,291570
arb_Arab-xx,26.06237799940591,92455378
azj_Latn-xx,25.064093723169112,7179300
bel_Cyrl-xx,25.39813086650134,2156584
bul_Cyrl-xx,27.155081887735957,32555640
ben_Beng-xx,25.43579736253303,15183514
cat_Latn-xx,27.832564377424017,19438615
ceb_Latn-xx,27.15658525855516,415208
ces_Latn-xx,27.13647142826425,82262078
cym_Latn-xx,26.99323351816749,1066595
dan_Latn-xx,27.615601058117782,36884558
deu_Latn-xx,27.69375333348705,545956997
ell_Grek-xx,26.068198694629512,68739380
eng_Latn-xx,28.792101445656005,3928733379
epo_Latn-xx,27.60801497787887,560151
spa_Latn-xx,27.080998762066887,591272119
est_Latn-xx,26.922494205028467,10401882
eus_Latn-xx,26.23186928128979,2077113
pes_Arab-xx,26.09901165122311,81252911
fin_Latn-xx,26.36057949950984,36807562
tgl_Latn-xx,27.00932133835638,2331209
fra_Latn-xx,27.75693497257633,454229019
gle_Latn-xx,26.403160902598348,611457
gla_Latn-xx,24.83056239422247,201237
glg_Latn-xx,27.74520158078112,3762255
guj_Gujr-xx,25.612521385974933,1292191
hau_Latn-xx,25.144263573952085,363002
hin_Deva-xx,26.40784675276449,26946979
hat_Latn-xx,26.31644127956757,232354
hun_Latn-xx,26.622364823238687,56645732
hye_Armn-xx,26.40925575627441,3873029
ind_Latn-xx,27.39605703731752,19423746
ibo_Latn-xx,23.662030966338094,110582
isl_Latn-xx,25.89489917893791,3139312
ita_Latn-xx,27.367120343425515,267686115
heb_Hebr-xx,26.24893739624313,17607812
jpn_Jpan-xx,25.099562372386668,85461924
jav_Latn-xx,26.492934005009804,218969
kat_Geor-xx,25.55742940547969,3726808
kaz_Cyrl-xx,25.821738653016435,3421165
khm_Khmr-xx,26.490597239305732,1384128
kan_Knda-xx,25.189574286982523,1916445
kor_Hang-xx,25.061289749868145,24035493
kmr_Latn-xx,24.48546586914068,399027
kir_Cyrl-xx,24.875580549275703,1198504
ltz_Latn-xx,27.13347458222848,850921
lao_Laoo-xx,26.102045878664786,302612
lit_Latn-xx,26.13639303610236,18234466
lvs_Latn-xx,26.739014287122583,9882376
plt_Latn-xx,25.79129555168992,263321
mri_Latn-xx,23.508172863595117,148146
mkd_Cyrl-xx,27.0952769229309,3599707
mal_Mlym-xx,25.66881593723668,3604562
khk_Cyrl-xx,24.84776080252023,2947312
mar_Deva-xx,25.757978931018997,4555599
zsm_Latn-xx,27.765079284928078,4688036
mlt_Latn-xx,27.489550670428525,1109191
mya_Mymr-xx,24.123901885265912,1248242
npi_Deva-xx,26.13500609701297,4679412
nld_Latn-xx,26.72182649778017,136379427
nob_Latn-xx,27.40900886754991,30644684
nya_Latn-xx,23.716075028256064,114952
pan_Guru-xx,26.14707749881207,729394
pol_Latn-xx,26.398360661336845,178690573
por_Latn-xx,28.080865261375948,246401954
ron_Latn-xx,27.67021639682995,66499899
rus_Cyrl-xx,26.787877251096223,1014646036
snd_Arab-xx,24.952896489592803,210835
sin_Sinh-xx,25.103646018281832,846125
slk_Latn-xx,26.935583293916388,26721250
slv_Latn-xx,26.765083400023688,12381886
smo_Latn-xx,24.82288007350057,102125
sna_Latn-xx,23.310246886491083,124984
som_Latn-xx,24.1683229263538,1168106
als_Latn-xx,27.17300421935725,7023573
srp_Cyrl-xx,27.19189775645525,4775217
sot_Latn-xx,25.01484253737396,99970
sun_Latn-xx,26.22346435167195,153302
swe_Latn-xx,27.444597384659307,63308307
swh_Latn-xx,25.99887189145757,1279408
tam_Taml-xx,24.93356135439576,5769533
tel_Telu-xx,25.858585873826584,2034828
tgk_Cyrl-xx,26.12930944656312,1563304
tha_Thai-xx,26.293879761931034,28021205
tur_Latn-xx,26.785354273488764,132662955
ukr_Cyrl-xx,26.35304024571248,56159593
urd_Arab-xx,25.498448509138445,3432478
uzn_Latn-xx,25.985286794692858,1183603
vie_Latn-xx,26.42002648826428,132667573
xho_Latn-xx,25.2846848501973,122232
ydd_Hebr-xx,26.26884820238841,173510
yor_Latn-xx,21.514522464571314,86686
zho_Hant-xx,24.14327750602441,215327817
zul_Latn-xx,25.40907339065193,261239
