label,chrF++_baseline,chrF++_scaffold,chrF++_packed
xx-Arab,15.7,18.6,17.5
xx-Cyrl,18.5,21.4,20.1
xx-Latn,19.0,22.2,20.6
xx-other,16.3,18.9,17.7
Arab-xx,18.4,21.2,19.9
Cyrl-xx,19.0,22.9,21.0
Latn-xx,18.0,21.0,19.6
other-xx,18.2,21.3,19.8
Arab-Arab,16.1,19.3,18.0
Arab-Cyrl,18.8,21.5,20.5
Arab-Latn,19.2,22.1,20.7
Arab-other,16.6,19.1,18.0
Cyrl-Arab,16.4,20.1,18.7
Cyrl-Cyrl,19.9,24.1,22.0
Cyrl-Latn,19.8,23.8,21.8
Cyrl-other,17.3,20.7,19.1
Latn-Arab,15.5,18.3,17.2
Latn-Cyrl,18.4,21.0,19.9
Latn-Latn,18.9,22.0,20.6
Latn-other,16.1,18.5,17.5
other-Arab,15.8,18.7,17.5
other-Cyrl,18.6,21.6,20.1
other-Latn,19.0,22.1,20.6
other-other,16.5,19.5,18.0
