label,chrF++,size
afr_Latn-xx,18.69887862047172,1770414
amh_Ethi-xx,18.994512654089004,291570
arb_Arab-xx,19.07854050710866,92455378
azj_Latn-xx,18.517954558132757,7179300
bel_Cyrl-xx,18.58694677281621,2156584
bul_Cyrl-xx,19.202592959385708,32555640
ben_Beng-xx,18.797248606125493,15183514
cat_Latn-xx,19.33077064289913,19438615
ceb_Latn-xx,18.976358401852377,415208
ces_Latn-xx,19.053510767995878,82262078
cym_Latn-xx,18.579344551983628,1066595
dan_Latn-xx,19.324776529642765,36884558
deu_Latn-xx,19.17016183163715,545956997
ell_Grek-xx,19.0139749913641,68739380
eng_Latn-xx,20.195754892862595,3928733379
epo_Latn-xx,18.673203675141,560151
spa_Latn-xx,19.191589560463072,591272119
est_Latn-xx,18.62299939174705,10401882
eus_Latn-xx,18.909902040002944,2077113
pes_Arab-xx,19.167870213857675,81252911
fin_Latn-xx,18.41881846387492,36807562
tgl_Latn-xx,19.059033026021723,2331209
fra_Latn-xx,19.366679133685032,454229019
gle_Latn-xx,18.415665736642698,611457
gla_Latn-xx,17.95958328716797,201237
glg_Latn-xx,19.47470121395679,3762255
guj_Gujr-xx,18.647119134910724,1292191
hau_Latn-xx,17.911356812309393,363002
hin_Deva-xx,19.25290749654314,26946979
hat_Latn-xx,18.210824741514468,232354
hun_Latn-xx,19.040361644563973,56645732
hye_Armn-xx,19.146659938086287,3873029
ind_Latn-xx,19.0727035787421,19423746
ibo_Latn-xx,18.041714576247948,110582
isl_Latn-xx,18.44495422535402,3139312
ita_Latn-xx,19.48970762765,267686115
heb_Hebr-xx,18.799262042002656,17607812
jpn_Jpan-xx,19.39849919424072,85461924
jav_Latn-xx,18.58681326673737,218969
kat_Geor-xx,19.079867970055663,3726808
kaz_Cyrl-xx,19.03493558315448,3421165
khm_Khmr-xx,17.60536021723917,1384128
kan_Knda-xx,17.76105018336899,1916445
kor_Hang-xx,18.815348988947093,24035493
kmr_Latn-xx,17.93340932661319,399027
kir_Cyrl-xx,18.58214267757552,1198504
ltz_Latn-xx,19.224302183319185,850921
lao_Laoo-xx,17.276523754698317,302612
lit_Latn-xx,18.291755588164403,18234466
lvs_Latn-xx,19.31971769707713,9882376
plt_Latn-xx,18.280393296375014,263321
mri_Latn-xx,17.71081546336533,148146
mkd_Cyrl-xx,19.262940682425423,3599707
mal_Mlym-xx,17.630476253533345,3604562
khk_Cyrl-xx,18.902383314916275,2947312
mar_Deva-xx,18.5703229616137,4555599
zsm_Latn-xx,19.28036718830727,4688036
mlt_Latn-xx,18.344180546124974,1109191
mya_Mymr-xx,18.88433336732331,1248242
npi_Deva-xx,19.67103450344826,4679412
nld_Latn-xx,19.17438861334593,136379427
nob_Latn-xx,19.217466420371025,30644684
nya_Latn-xx,17.81488060909775,114952
pan_Guru-xx,18.854186275340908,729394
pol_Latn-xx,18.989058197658228,178690573
por_Latn-xx,19.780857754188787,246401954
ron_Latn-xx,19.407229796966085,66499899
rus_Cyrl-xx,19.28486099094714,1014646036
snd_Arab-xx,18.80241716549955,210835
sin_Sinh-xx,18.68222397878303,846125
slk_Latn-xx,19.07989116231161,26721250
slv_Latn-xx,19.05123949548524,12381886
smo_Latn-xx,18.0008066189271,102125
sna_Latn-xx,16.646801170340357,124984
som_Latn-xx,17.764235735527535,1168106
als_Latn-xx,19.197303815596843,7023573
srp_Cyrl-xx,19.216157904589405,4775217
sot_Latn-xx,17.8666744844788,99970
sun_Latn-xx,18.4798955119784,153302
swe_Latn-xx,19.057602493702596,63308307
swh_Latn-xx,18.346144813651083,1279408
tam_Taml-xx,17.659156696204995,5769533
tel_Telu-xx,18.416243062872333,2034828
tgk_Cyrl-xx,18.922470901817263,1563304
tha_Thai-xx,18.169368761519493,28021205
tur_Latn-xx,18.71581174836608,132662955
ukr_Cyrl-xx,18.98468386639381,56159593
urd_Arab-xx,19.21019669687211,3432478
uzn_Latn-xx,18.744878517799645,1183603
vie_Latn-xx,18.69476734997753,132667573
xho_Latn-xx,18.248299537434672,122232
ydd_Hebr-xx,18.991147608479807,173510
yor_Latn-xx,16.992423984877643,86686
zho_Hant-xx,18.76727374315471,215327817
zul_Latn-xx,18.41943356614405,261239
