label,chrF++,size
xx-afr_Latn,22.29555635164631,1770414
xx-amh_Ethi,9.919684488016026,291570
xx-arb_Arab,16.725928864768033,92455378
xx-azj_Latn,18.457678144304055,7179300
xx-bel_Cyrl,17.134574329370576,2156584
xx-bul_Cyrl,20.503988487211465,32555640
xx-ben_Beng,16.611172419443175,15183514
xx-cat_Latn,21.417783644350603,19438615
xx-ceb_Latn,26.70824430973316,415208
xx-ces_Latn,16.254885734240577,82262078
xx-cym_Latn,20.209615018805355,1066595
xx-dan_Latn,21.164042316533862,36884558
xx-deu_Latn,21.197981068574386,545956997
xx-ell_Grek,18.948312175314246,68739380
xx-eng_Latn,21.177568412543007,3928733379
xx-epo_Latn,22.25164986829605,560151
xx-spa_Latn,22.030820597684787,591272119
xx-est_Latn,19.122111404889296,10401882
xx-eus_Latn,20.919191672289543,2077113
xx-pes_Arab,18.626325639109005,81252911
xx-fin_Latn,19.208289386787836,36807562
xx-tgl_Latn,27.475458055206907,2331209
xx-fra_Latn,22.056478210172024,454229019
xx-gle_Latn,21.061061145200565,611457
xx-gla_Latn,21.205077938038823,201237
xx-glg_Latn,21.06618859465064,3762255
xx-guj_Gujr,17.44585679966718,1292191
xx-hau_Latn,21.0225798604372,363002
xx-hin_Deva,18.15739224621658,26946979
xx-hat_Latn,19.711403005786547,232354
xx-hun_Latn,18.3894045991998,56645732
xx-hye_Armn,19.91227046191134,3873029
xx-ind_Latn,23.00712318062128,19423746
xx-ibo_Latn,16.793725839870653,110582
xx-isl_Latn,17.315809335811387,3139312
xx-ita_Latn,20.95149693349217,267686115
xx-heb_Hebr,16.234662934795743,17607812
xx-jpn_Jpan,7.533344391435593,85461924
xx-jav_Latn,21.87738270958948,218969
xx-kat_Geor,19.529343279570742,3726808
xx-kaz_Cyrl,18.45366813702654,3421165
xx-khm_Khmr,15.897974191579472,1384128
xx-kan_Knda,18.904416143613638,1916445
xx-kor_Hang,7.865455543924677,24035493
xx-kmr_Latn,17.541200640207126,399027
xx-kir_Cyrl,17.61624104710531,1198504
xx-ltz_Latn,20.372126951957643,850921
xx-lao_Laoo,19.36599014236925,302612
xx-lit_Latn,18.503015612508456,18234466
xx-lvs_Latn,19.14147885057053,9882376
xx-plt_Latn,24.629873445711496,263321
xx-mri_Latn,24.37748686075059,148146
xx-mkd_Cyrl,20.759218968360027,3599707
xx-mal_Mlym,18.704790459945603,3604562
xx-khk_Cyrl,17.653622301870904,2947312
xx-mar_Deva,17.151779633870525,4555599
xx-zsm_Latn,23.58651859989206,4688036
xx-mlt_Latn,19.34564137686492,1109191
xx-mya_Mymr,21.10812176719923,1248242
xx-npi_Deva,17.40098252876802,4679412
xx-nld_Latn,21.06534507953346,136379427
xx-nob_Latn,20.007360281557183,30644684
xx-nya_Latn,20.46844130410252,114952
xx-pan_Guru,17.031058936831617,729394
xx-pol_Latn,17.534613117429355,178690573
xx-por_Latn,21.003758708955356,246401954
xx-ron_Latn,21.238142519780524,66499899
xx-rus_Cyrl,18.58715203378196,1014646036
xx-snd_Arab,16.980368586397127,210835
xx-sin_Sinh,16.423459263311198,846125
xx-slk_Latn,17.108987712876413,26721250
xx-slv_Latn,19.310988813694287,12381886
xx-smo_Latn,26.877567443932996,102125
xx-sna_Latn,20.088101284947207,124984
xx-som_Latn,19.146006343485,1168106
xx-als_Latn,21.731181038048835,7023573
xx-srp_Cyrl,19.08657551381713,4775217
xx-sot_Latn,23.476944307514007,99970
xx-sun_Latn,20.848478510174225,153302
xx-swe_Latn,19.828074565603544,63308307
xx-swh_Latn,22.043395123967944,1279408
xx-tam_Taml,21.769057563344937,5769533
xx-tel_Telu,17.995778049673035,2034828
xx-tgk_Cyrl,20.682858726052338,1563304
xx-tha_Thai,16.361543159023302,28021205
xx-tur_Latn,18.706297883389208,132662955
xx-ukr_Cyrl,18.00628152051865,56159593
xx-urd_Arab,18.119333429723014,3432478
xx-uzn_Latn,19.15173845149142,1183603
xx-vie_Latn,16.830701616082163,132667573
xx-xho_Latn,18.339726591037405,122232
xx-ydd_Hebr,22.30311357141262,173510
xx-yor_Latn,11.023203615402544,86686
xx-zho_Hant,4.955772701353085,215327817
xx-zul_Latn,20.704182577005707,261239
