label,chrF++,size
afr_Latn-xx,20.87654032897945,1770414
amh_Ethi-xx,20.55631981474361,291570
arb_Arab-xx,21.05688736926451,92455378
azj_Latn-xx,20.34983475410734,7179300
bel_Cyrl-xx,20.23281413636563,2156584
bul_Cyrl-xx,21.54970955241568,32555640
ben_Beng-xx,20.74700293278348,15183514
cat_Latn-xx,21.706537170468263,19438615
ceb_Latn-xx,21.28987560009931,415208
ces_Latn-xx,21.395427284363063,82262078
cym_Latn-xx,20.45258286442117,1066595
dan_Latn-xx,21.531369850442005,36884558
deu_Latn-xx,21.50222236347494,545956997
ell_Grek-xx,21.022852846254366,68739380
eng_Latn-xx,22.75196554333392,3928733379
epo_Latn-xx,20.89666353398549,560151
spa_Latn-xx,21.29892315869755,591272119
est_Latn-xx,20.650889552572792,10401882
eus_Latn-xx,20.92212487549125,2077113
pes_Arab-xx,21.110645178652582,81252911
fin_Latn-xx,20.21612811811211,36807562
tgl_Latn-xx,21.179770123791112,2331209
fra_Latn-xx,21.737292994527348,454229019
gle_Latn-xx,20.197198569544792,611457
gla_Latn-xx,19.6723363974295,201237
glg_Latn-xx,21.88984314015322,3762255
guj_Gujr-xx,20.746132549803903,1292191
hau_Latn-xx,19.54802697096619,363002
hin_Deva-xx,21.54022106476595,26946979
hat_Latn-xx,19.987147070650764,232354
hun_Latn-xx,21.18164042925949,56645732
hye_Armn-xx,21.41283241499537,3873029
ind_Latn-xx,21.200035898800465,19423746
ibo_Latn-xx,19.46433791590553,110582
isl_Latn-xx,20.37180588677736,3139312
ita_Latn-xx,21.595487714026625,267686115
heb_Hebr-xx,20.8156401762722,17607812
jpn_Jpan-xx,21.2053288010136,85461924
jav_Latn-xx,20.716699236167823,218969
kat_Geor-xx,21.05280440613998,3726808
kaz_Cyrl-xx,21.100805979247205,3421165
khm_Khmr-xx,19.410722823654304,1384128
kan_Knda-xx,19.77170837306908,1916445
kor_Hang-xx,20.61167528205507,24035493
kmr_Latn-xx,19.634868080557567,399027
kir_Cyrl-xx,20.541764518402434,1198504
ltz_Latn-xx,21.497362554589948,850921
lao_Laoo-xx,19.05714596373398,302612
lit_Latn-xx,20.06759987803173,18234466
lvs_Latn-xx,21.448677881924983,9882376
plt_Latn-xx,20.15435698159664,263321
mri_Latn-xx,19.140776139619355,148146
mkd_Cyrl-xx,21.53632894011831,3599707
mal_Mlym-xx,19.283145141328088,3604562
khk_Cyrl-xx,20.786938447917887,2947312
mar_Deva-xx,20.627572280947035,4555599
zsm_Latn-xx,21.46196820256116,4688036
mlt_Latn-xx,20.33379531236269,1109191
mya_Mymr-xx,20.575854600845723,1248242
npi_Deva-xx,21.67261916504497,4679412
nld_Latn-xx,21.34125160787523,136379427
nob_Latn-xx,21.453095102671504,30644684
nya_Latn-xx,19.445710625964445,114952
pan_Guru-xx,21.01018745349003,729394
pol_Latn-xx,20.868392591086167,178690573
por_Latn-xx,22.28112288138432,246401954
ron_Latn-xx,21.826649190576696,66499899
rus_Cyrl-xx,21.471701358028,1014646036
snd_Arab-xx,20.88640840217649,210835
sin_Sinh-xx,20.459263545252384,846125
slk_Latn-xx,21.246655434085167,26721250
slv_Latn-xx,21.241921201012417,12381886
smo_Latn-xx,19.61495870056117,102125
sna_Latn-xx,18.022256888847583,124984
som_Latn-xx,19.082569985214253,1168106
als_Latn-xx,21.396919078583725,7023573
srp_Cyrl-xx,21.37625230309233,4775217
sot_Latn-xx,19.68481936160067,99970
sun_Latn-xx,20.309732726307324,153302
swe_Latn-xx,21.40046804785167,63308307
swh_Latn-xx,20.484460721988903,1279408
tam_Taml-xx,19.292520101922868,5769533
tel_Telu-xx,20.27519559342701,2034828
tgk_Cyrl-xx,20.99534408793281,1563304
tha_Thai-xx,19.965863387030552,28021205
tur_Latn-xx,20.59775671443701,132662955
ukr_Cyrl-xx,21.080748056267883,56159593
urd_Arab-xx,21.296211015506884,3432478
uzn_Latn-xx,20.65945156332268,1183603
vie_Latn-xx,20.611222810658457,132667573
xho_Latn-xx,19.9851981998066,122232
ydd_Hebr-xx,21.016379379892435,173510
yor_Latn-xx,18.010279116158685,86686
zho_Hant-xx,20.666664852113747,215327817
zul_Latn-xx,20.184422356977937,261239
