label,chrF++
ace_Arab-xx,18.051022842340014
ace_Latn-xx,20.361553725151172
acm_Arab-xx,23.37657366246029
acq_Arab-xx,23.412412708178348
aeb_Arab-xx,22.508041923494126
afr_Latn-xx,24.668093612294346
ajp_Arab-xx,23.533868790688732
aka_Latn-xx,18.406774950803285
als_Latn-xx,23.561588290154372
amh_Ethi-xx,21.301131888709655
apc_Arab-xx,22.890908341514336
arb_Arab-xx,23.23735231805103
arb_Latn-xx,17.11972863822347
ars_Arab-xx,23.64698876233546
ary_Arab-xx,21.82366002863995
arz_Arab-xx,22.988824833056277
asm_Beng-xx,20.935567530699466
ast_Latn-xx,23.43507714031497
awa_Deva-xx,22.962936503632086
ayr_Latn-xx,16.265418924871806
azb_Arab-xx,19.65987264165212
azj_Latn-xx,21.912836124760194
bak_Cyrl-xx,21.429490874243694
bam_Latn-xx,17.348080019975445
ban_Latn-xx,21.663006940916166
bel_Cyrl-xx,21.90937112000921
bem_Latn-xx,19.017032567727796
ben_Beng-xx,22.201492300035223
bho_Deva-xx,22.010227883036272
bjn_Arab-xx,18.20967732315185
bjn_Latn-xx,22.299544051919657
bod_Tibt-xx,16.26369962903122
bos_Latn-xx,23.030846455613162
bug_Latn-xx,18.860794233942197
bul_Cyrl-xx,24.448399720284428
cat_Latn-xx,24.958237257913236
ceb_Latn-xx,23.422767314041824
ces_Latn-xx,23.684528376151896
cjk_Latn-xx,17.01076755463075
ckb_Arab-xx,20.400504728260564
crh_Latn-xx,21.213376315214703
cym_Latn-xx,21.70056960085196
dan_Latn-xx,24.812488718025534
deu_Latn-xx,24.385238639552714
dik_Latn-xx,16.398057885799695
dyu_Latn-xx,16.57649175993327
dzo_Tibt-xx,16.420828300227868
ell_Grek-xx,23.325959816513038
eng_Latn-xx,29.645706647511876
epo_Latn-xx,24.264551692731235
est_Latn-xx,22.832329597016344
eus_Latn-xx,21.859232369701637
ewe_Latn-xx,17.28583395268657
fao_Latn-xx,21.568742462303454
fij_Latn-xx,18.08108624078303
fin_Latn-xx,22.47278287771054
fon_Latn-xx,16.30289690699876
fra_Latn-xx,24.8181587640019
fur_Latn-xx,22.715276053374865
fuv_Latn-xx,16.791768983001027
gaz_Latn-xx,17.386140390823172
gla_Latn-xx,20.18576735918076
gle_Latn-xx,21.287401077739936
glg_Latn-xx,24.876372918870782
grn_Latn-xx,18.425115911660974
guj_Gujr-xx,22.128853765281164
hat_Latn-xx,22.158210871296816
hau_Latn-xx,20.6362647912738
heb_Hebr-xx,23.399204193504463
hin_Deva-xx,23.68535418919528
hne_Deva-xx,23.26419704972872
hrv_Latn-xx,22.343727870136433
hun_Latn-xx,22.91374654073738
hye_Armn-xx,23.33916720251834
