label,chrF++,size
afr_Latn-xx,24.668093612294346,1770414
amh_Ethi-xx,21.30113188870965,291570
arb_Arab-xx,23.23735231805103,92455378
azj_Latn-xx,21.912836124760197,7179300
bel_Cyrl-xx,21.90937112000921,2156584
bul_Cyrl-xx,24.448399720284428,32555640
ben_Beng-xx,22.201492300035223,15183514
cat_Latn-xx,24.95823725791324,19438615
ceb_Latn-xx,23.422767314041824,415208
ces_Latn-xx,23.684528376151896,82262078
cym_Latn-xx,21.70056960085196,1066595
dan_Latn-xx,24.81248871802553,36884558
deu_Latn-xx,24.385238639552718,545956997
ell_Grek-xx,23.32595981651304,68739380
eng_Latn-xx,29.64570664751188,3928733379
epo_Latn-xx,24.264551692731235,560151
spa_Latn-xx,24.25126981440003,591272119
est_Latn-xx,22.832329597016344,10401882
eus_Latn-xx,21.85923236970164,2077113
pes_Arab-xx,23.25692237376057,81252911
fin_Latn-xx,22.47278287771054,36807562
tgl_Latn-xx,23.29321798507924,2331209
fra_Latn-xx,24.8181587640019,454229019
gle_Latn-xx,21.287401077739936,611457
gla_Latn-xx,20.18576735918076,201237
glg_Latn-xx,24.876372918870786,3762255
guj_Gujr-xx,22.128853765281164,1292191
hau_Latn-xx,20.6362647912738,363002
hin_Deva-xx,23.68535418919528,26946979
hat_Latn-xx,22.158210871296816,232354
hun_Latn-xx,22.91374654073738,56645732
hye_Armn-xx,23.33916720251834,3873029
ind_Latn-xx,24.556518082948344,19423746
ibo_Latn-xx,20.18777673644628,110582
isl_Latn-xx,21.91991015508136,3139312
ita_Latn-xx,23.88964635864465,267686115
heb_Hebr-xx,23.399204193504463,17607812
jpn_Jpan-xx,22.264216214468902,85461924
jav_Latn-xx,22.92848237504307,218969
kat_Geor-xx,22.468310213432304,3726808
kaz_Cyrl-xx,22.73059243826165,3421165
khm_Khmr-xx,22.94551908315817,1384128
kan_Knda-xx,22.371812403533912,1916445
kor_Hang-xx,21.66677750513476,24035493
kmr_Latn-xx,20.509811018173732,399027
kir_Cyrl-xx,21.508793616148623,1198504
ltz_Latn-xx,23.0568002068464,850921
lao_Laoo-xx,22.93525369842285,302612
lit_Latn-xx,22.64824118622136,18234466
lvs_Latn-xx,23.26061315624288,9882376
plt_Latn-xx,21.306402588403117,263321
mri_Latn-xx,19.890223212791646,148146
mkd_Cyrl-xx,24.51917806580359,3599707
mal_Mlym-xx,22.55540379141048,3604562
khk_Cyrl-xx,21.55436586188561,2947312
mar_Deva-xx,22.30495477300692,4555599
zsm_Latn-xx,24.63503484297358,4688036
mlt_Latn-xx,22.441842071712973,1109191
mya_Mymr-xx,21.577332274950837,1248242
npi_Deva-xx,23.290636203985503,4679412
nld_Latn-xx,23.334777526068287,136379427
nob_Latn-xx,24.290088095217307,30644684
nya_Latn-xx,20.42300731226726,114952
pan_Guru-xx,22.0911050099056,729394
pol_Latn-xx,22.79484281146285,178690573
por_Latn-xx,25.503717558864192,246401954
ron_Latn-xx,24.630852518972013,66499899
rus_Cyrl-xx,24.05658295238792,1014646036
snd_Arab-xx,21.80212586260304,210835
sin_Sinh-xx,21.853953670039548,846125
slk_Latn-xx,23.39391596448804,26721250
slv_Latn-xx,23.013893298959225,12381886
smo_Latn-xx,20.692700336668832,102125
sna_Latn-xx,19.65319326654135,124984
som_Latn-xx,19.674687630423225,1168106
als_Latn-xx,23.56158829015437,7023573
srp_Cyrl-xx,24.260927568767915,4775217
sot_Latn-xx,21.12190832776902,99970
sun_Latn-xx,22.78370086957461,153302
swe_Latn-xx,24.61606612629959,63308307
swh_Latn-xx,22.490120826861503,1279408
tam_Taml-xx,22.515840368085406,5769533
tel_Telu-xx,22.486972373459768,2034828
tgk_Cyrl-xx,22.237968885125166,1563304
tha_Thai-xx,22.73149817004372,28021205
tur_Latn-xx,23.18392022162661,132662955
ukr_Cyrl-xx,23.68836471496071,56159593
urd_Arab-xx,22.562670063735386,3432478
uzn_Latn-xx,22.325653112839404,1183603
vie_Latn-xx,21.925261742925965,132667573
xho_Latn-xx,21.21401406921432,122232
ydd_Hebr-xx,23.148640878437096,173510
yor_Latn-xx,18.204346017481644,86686
zho_Hant-xx,22.07682888152712,215327817
zul_Latn-xx,21.544022533070684,261239
