label,chrF++,size
xx-afr_Latn,26.01055528390231,1770414
xx-amh_Ethi,11.599454878759746,291570
xx-arb_Arab,19.422164059636632,92455378
xx-azj_Latn,20.0919104322685,7179300
xx-bel_Cyrl,19.25681971495593,2156584
xx-bul_Cyrl,23.80507125907393,32555640
xx-ben_Beng,19.255629966545843,15183514
xx-cat_Latn,24.95467553894673,19438615
xx-ceb_Latn,30.08419807516789,415208
xx-ces_Latn,18.767029590140456,82262078
xx-cym_Latn,23.378121700182277,1066595
xx-dan_Latn,24.541956466552083,36884558
xx-deu_Latn,24.045578653924007,545956997
xx-ell_Grek,21.4856587238306,68739380
xx-eng_Latn,25.44227688536757,3928733379
xx-epo_Latn,26.144608902273003,560151
xx-spa_Latn,24.502417427224213,591272119
xx-est_Latn,21.850747120503307,10401882
xx-eus_Latn,23.413988868556014,2077113
xx-pes_Arab,21.570007886001157,81252911
xx-fin_Latn,21.97799012629253,36807562
xx-tgl_Latn,30.99787704894584,2331209
xx-fra_Latn,26.191731140567903,454229019
xx-gle_Latn,23.52154466501099,611457
xx-gla_Latn,24.3358507654856,201237
xx-glg_Latn,24.623805625184836,3762255
xx-guj_Gujr,20.76642731506782,1292191
xx-hau_Latn,23.394085325525545,363002
xx-hin_Deva,21.554352603461066,26946979
xx-hat_Latn,23.414783137820702,232354
xx-hun_Latn,20.83003607388756,56645732
xx-hye_Armn,22.817495313977744,3873029
xx-ind_Latn,27.01751686134573,19423746
xx-ibo_Latn,17.847946178852638,110582
xx-isl_Latn,19.91453627046513,3139312
xx-ita_Latn,23.688444837698427,267686115
xx-heb_Hebr,18.68445095679192,17607812
xx-jpn_Jpan,8.71054437071886,85461924
xx-jav_Latn,25.375601884066363,218969
xx-kat_Geor,22.02205697660669,3726808
xx-kaz_Cyrl,21.56854180820555,3421165
xx-khm_Khmr,17.95607821541658,1384128
xx-kan_Knda,21.713878360262587,1916445
xx-kor_Hang,9.457515833047928,24035493
xx-kmr_Latn,20.337470615427687,399027
xx-kir_Cyrl,19.919760292980037,1198504
xx-ltz_Latn,23.15851569753385,850921
xx-lao_Laoo,22.30743958698275,302612
xx-lit_Latn,21.376334813001403,18234466
xx-lvs_Latn,21.66277198330178,9882376
xx-plt_Latn,27.49797831643249,263321
xx-mri_Latn,27.67714629907891,148146
xx-mkd_Cyrl,24.314591365940764,3599707
xx-mal_Mlym,21.23816186264732,3604562
xx-khk_Cyrl,20.21881493199201,2947312
xx-mar_Deva,20.11884271971353,4555599
xx-zsm_Latn,27.688696314667222,4688036
xx-mlt_Latn,22.89197818106264,1109191
xx-mya_Mymr,23.513429046039334,1248242
xx-npi_Deva,20.871248866323494,4679412
xx-nld_Latn,23.3768724295011,136379427
xx-nob_Latn,23.124823176060957,30644684
xx-nya_Latn,23.280204546583462,114952
xx-pan_Guru,20.15160004940764,729394
xx-pol_Latn,19.56228409139917,178690573
xx-por_Latn,24.653969162295382,246401954
xx-ron_Latn,24.153225908304837,66499899
xx-rus_Cyrl,21.27625304227925,1014646036
xx-snd_Arab,20.1803376774884,210835
xx-sin_Sinh,18.694923473588524,846125
xx-slk_Latn,19.774176081374343,26721250
xx-slv_Latn,21.744869643847448,12381886
xx-smo_Latn,29.50280231695457,102125
xx-sna_Latn,22.16227178011089,124984
xx-som_Latn,21.942084906151724,1168106
xx-als_Latn,25.127222891456125,7023573
xx-srp_Cyrl,21.99861370337247,4775217
xx-sot_Latn,26.830432747986936,99970
xx-sun_Latn,23.91554570856809,153302
xx-swe_Latn,23.48042148545104,63308307
xx-swh_Latn,25.93934889048478,1279408
xx-tam_Taml,24.32842642767628,5769533
xx-tel_Telu,20.94638657705266,2034828
xx-tgk_Cyrl,23.382252886762984,1563304
xx-tha_Thai,18.727185067409454,28021205
xx-tur_Latn,21.1846782420236,132662955
xx-ukr_Cyrl,20.792520451340025,56159593
xx-urd_Arab,20.946318677087746,3432478
xx-uzn_Latn,23.156158053441604,1183603
xx-vie_Latn,20.41823258309562,132667573
xx-xho_Latn,21.189197466905068,122232
xx-ydd_Hebr,25.41268440893164,173510
xx-yor_Latn,14.20595995288674,86686
xx-zho_Hant,6.337080643098715,215327817
xx-zul_Latn,23.38969283528664,261239
