label,chrF++,size
afr_Latn-xx,25.20765281974112,1770414
amh_Ethi-xx,22.632720759996428,291570
arb_Arab-xx,23.65249505292089,92455378
azj_Latn-xx,23.02810360066437,7179300
bel_Cyrl-xx,23.15943039729805,2156584
bul_Cyrl-xx,24.28714229336117,32555640
ben_Beng-xx,23.284154501329652,15183514
cat_Latn-xx,24.73681378622232,19438615
ceb_Latn-xx,24.09097127930258,415208
ces_Latn-xx,24.276988597543934,82262078
cym_Latn-xx,23.87159204755624,1066595
dan_Latn-xx,24.787108825376063,36884558
deu_Latn-xx,24.981977782561664,545956997
ell_Grek-xx,23.297327824876955,68739380
eng_Latn-xx,25.762534946416555,3928733379
epo_Latn-xx,24.266758835632736,560151
spa_Latn-xx,24.53151386353585,591272119
est_Latn-xx,24.184885488147177,10401882
eus_Latn-xx,23.835691046329238,2077113
pes_Arab-xx,23.555876343327192,81252911
fin_Latn-xx,23.3691404786852,36807562
tgl_Latn-xx,24.205602831175334,2331209
fra_Latn-xx,24.784441253884022,454229019
gle_Latn-xx,23.55331781442003,611457
gla_Latn-xx,22.45733231782965,201237
glg_Latn-xx,24.91110999722499,3762255
guj_Gujr-xx,23.29910499276748,1292191
hau_Latn-xx,22.560290814744835,363002
hin_Deva-xx,24.013652762226307,26946979
hat_Latn-xx,23.591123856899078,232354
hun_Latn-xx,23.711751034809534,56645732
hye_Armn-xx,23.71120370205369,3873029
ind_Latn-xx,24.691581615611373,19423746
ibo_Latn-xx,21.50111381989941,110582
isl_Latn-xx,23.11156052783844,3139312
ita_Latn-xx,24.615270590174678,267686115
heb_Hebr-xx,23.46662821068368,17607812
jpn_Jpan-xx,22.771416326066948,85461924
jav_Latn-xx,24.004594762238643,218969
kat_Geor-xx,23.054352563884713,3726808
kaz_Cyrl-xx,23.242769046330785,3421165
khm_Khmr-xx,23.483643069764568,1384128
kan_Knda-xx,23.000105332576457,1916445
kor_Hang-xx,22.82849007008306,24035493
kmr_Latn-xx,22.30669277449649,399027
kir_Cyrl-xx,22.735627841757147,1198504
ltz_Latn-xx,24.573520853211363,850921
lao_Laoo-xx,23.574036054199603,302612
lit_Latn-xx,23.41728559862794,18234466
lvs_Latn-xx,23.98772932700413,9882376
plt_Latn-xx,22.9814541749563,263321
mri_Latn-xx,21.160609052235092,148146
mkd_Cyrl-xx,24.18136320474106,3599707
mal_Mlym-xx,23.359977327815105,3604562
khk_Cyrl-xx,22.519723010554305,2947312
mar_Deva-xx,23.44848885114856,4555599
zsm_Latn-xx,24.71746875936041,4688036
mlt_Latn-xx,24.17631826825697,1109191
mya_Mymr-xx,22.007604124309704,1248242
npi_Deva-xx,23.808922956169045,4679412
nld_Latn-xx,23.95847354207304,136379427
nob_Latn-xx,24.562266483136337,30644684
nya_Latn-xx,21.488220915643534,114952
pan_Guru-xx,23.5705633067351,729394
pol_Latn-xx,23.80970070172973,178690573
por_Latn-xx,25.099027009663093,246401954
ron_Latn-xx,24.58567231093983,66499899
rus_Cyrl-xx,23.972291169484507,1014646036
snd_Arab-xx,22.60057804627637,210835
sin_Sinh-xx,22.682487438543614,846125
slk_Latn-xx,23.978838555887354,26721250
slv_Latn-xx,24.168532387685882,12381886
smo_Latn-xx,22.023701052684793,102125
sna_Latn-xx,21.28598356597054,124984
som_Latn-xx,21.665084699997397,1168106
als_Latn-xx,24.336702863290046,7023573
srp_Cyrl-xx,24.574783527335537,4775217
sot_Latn-xx,22.56596295887227,99970
sun_Latn-xx,23.493958995011376,153302
swe_Latn-xx,24.545359501450225,63308307
swh_Latn-xx,23.22275090847094,1279408
tam_Taml-xx,23.06472477097266,5769533
tel_Telu-xx,23.535814452764377,2034828
tgk_Cyrl-xx,23.111526120904706,1563304
tha_Thai-xx,23.429596946043795,28021205
tur_Latn-xx,24.501665166407356,132662955
ukr_Cyrl-xx,23.709533249690974,56159593
urd_Arab-xx,23.090371523348864,3432478
uzn_Latn-xx,23.539316217744492,1183603
vie_Latn-xx,23.35791105866906,132667573
xho_Latn-xx,22.6129052959247,122232
ydd_Hebr-xx,23.456786348435408,173510
yor_Latn-xx,19.44305549949874,86686
zho_Hant-xx,21.86750960793462,215327817
zul_Latn-xx,22.855183245565808,261239
