label,chrF++
ace_Arab-xx,17.33732035614982
ace_Latn-xx,24.329245509114863
acm_Arab-xx,28.462665767894883
acq_Arab-xx,28.733562953321208
aeb_Arab-xx,26.646607428530615
afr_Latn-xx,31.691858313661363
ajp_Arab-xx,28.913614386686742
aka_Latn-xx,20.839966510298385
als_Latn-xx,30.1336218411515
amh_Ethi-xx,26.14630827382148
apc_Arab-xx,28.101820893570377
arb_Arab-xx,28.77993991801901
arb_Latn-xx,18.83288190995505
ars_Arab-xx,28.49036550364485
ary_Arab-xx,26.259674408758105
arz_Arab-xx,27.610021696877507
asm_Beng-xx,24.989234684915942
ast_Latn-xx,29.231641543754233
awa_Deva-xx,27.85498096872373
ayr_Latn-xx,16.75717120410845
azb_Arab-xx,22.441206901029776
azj_Latn-xx,26.69006651370351
bak_Cyrl-xx,26.300317190466423
bam_Latn-xx,17.97122615094579
ban_Latn-xx,27.049917095907404
bel_Cyrl-xx,27.545083167430928
bem_Latn-xx,21.863566207294305
ben_Beng-xx,27.54915018459662
bho_Deva-xx,26.4522001676484
bjn_Arab-xx,17.32713255078098
bjn_Latn-xx,27.575847718020974
bod_Tibt-xx,16.886284979295215
bos_Latn-xx,28.97447779172776
bug_Latn-xx,21.630078071211827
bul_Cyrl-xx,30.11940929024189
cat_Latn-xx,31.598535391531534
ceb_Latn-xx,30.285424554095442
ces_Latn-xx,30.1546326164713
cjk_Latn-xx,18.159900303184873
ckb_Arab-xx,24.57321074851813
crh_Latn-xx,25.90100903533364
cym_Latn-xx,28.94683200201667
dan_Latn-xx,31.196325879932168
deu_Latn-xx,31.719005445152547
dik_Latn-xx,17.269054176082346
dyu_Latn-xx,17.21025187201871
dzo_Tibt-xx,15.855493971267325
ell_Grek-xx,28.953397055695834
eng_Latn-xx,35.29631072660013
epo_Latn-xx,30.134454840478796
est_Latn-xx,29.19953877505726
eus_Latn-xx,27.976368872676066
ewe_Latn-xx,18.683092399844835
fao_Latn-xx,27.630502769996525
fij_Latn-xx,21.148258686914794
fin_Latn-xx,28.49666396773281
fon_Latn-xx,16.97029514871574
fra_Latn-xx,31.718727787701432
fur_Latn-xx,28.905039449473996
fuv_Latn-xx,17.94192959935656
gaz_Latn-xx,20.2698914260655
gla_Latn-xx,26.051169274934434
gle_Latn-xx,28.356448116363676
glg_Latn-xx,31.243504474519746
grn_Latn-xx,20.40879994135939
guj_Gujr-xx,27.578223740161285
hat_Latn-xx,28.33349636688231
hau_Latn-xx,26.47590239640631
heb_Hebr-xx,28.75756522784948
hin_Deva-xx,28.798497480244766
hne_Deva-xx,28.18508078630742
hrv_Latn-xx,28.506187199746048
hun_Latn-xx,29.156634710750858
hye_Armn-xx,29.07752820586541
ibo_Latn-xx,24.91457711417384
ilo_Latn-xx,25.885338764139405
ind_Latn-xx,30.708960258650443
isl_Latn-xx,28.193797929476695
