label,chrF++,size
afr_Latn-xx,31.691858313661363,1770414
amh_Ethi-xx,26.14630827382148,291570
arb_Arab-xx,28.77993991801901,92455378
azj_Latn-xx,26.69006651370351,7179300
bel_Cyrl-xx,27.545083167430928,2156584
bul_Cyrl-xx,30.11940929024189,32555640
ben_Beng-xx,27.54915018459662,15183514
cat_Latn-xx,31.598535391531534,19438615
ceb_Latn-xx,30.285424554095442,415208
ces_Latn-xx,30.1546326164713,82262078
cym_Latn-xx,28.94683200201667,1066595
dan_Latn-xx,31.196325879932168,36884558
deu_Latn-xx,31.719005445152547,545956997
ell_Grek-xx,28.953397055695834,68739380
eng_Latn-xx,35.29631072660013,3928733379
epo_Latn-xx,30.134454840478796,560151
spa_Latn-xx,30.41836074800347,591272119
est_Latn-xx,29.19953877505726,10401882
eus_Latn-xx,27.976368872676066,2077113
pes_Arab-xx,28.782599800646086,81252911
fin_Latn-xx,28.49666396773281,36807562
tgl_Latn-xx,30.18718361445092,2331209
fra_Latn-xx,31.718727787701432,454229019
gle_Latn-xx,28.356448116363676,611457
gla_Latn-xx,26.051169274934434,201237
glg_Latn-xx,31.243504474519746,3762255
guj_Gujr-xx,27.578223740161285,1292191
hau_Latn-xx,26.47590239640631,363002
hin_Deva-xx,28.798497480244766,26946979
hat_Latn-xx,28.33349636688231,232354
hun_Latn-xx,29.156634710750858,56645732
hye_Armn-xx,29.07752820586541,3873029
ind_Latn-xx,30.708960258650443,19423746
ibo_Latn-xx,24.91457711417384,110582
isl_Latn-xx,28.193797929476695,3139312
ita_Latn-xx,30.403544726305416,267686115
heb_Hebr-xx,28.75756522784948,17607812
jpn_Jpan-xx,26.649435096207476,85461924
jav_Latn-xx,29.118851321962204,218969
kat_Geor-xx,27.637923501013194,3726808
kaz_Cyrl-xx,27.85748564904253,3421165
khm_Khmr-xx,28.741361070514827,1384128
kan_Knda-xx,26.978114391663492,1916445
kor_Hang-xx,26.798826363083776,24035493
kmr_Latn-xx,25.593688676268023,399027
kir_Cyrl-xx,26.27642500130583,1198504
ltz_Latn-xx,29.9336202658519,850921
lao_Laoo-xx,28.89173462368046,302612
lit_Latn-xx,28.40681333472369,18234466
lvs_Latn-xx,29.661984667606184,9882376
plt_Latn-xx,26.998253221331897,263321
mri_Latn-xx,24.77392811897598,148146
mkd_Cyrl-xx,30.52507670318127,3599707
mal_Mlym-xx,27.757456118080142,3604562
khk_Cyrl-xx,26.00216396513972,2947312
mar_Deva-xx,27.367602056583458,4555599
zsm_Latn-xx,30.962733907065658,4688036
mlt_Latn-xx,29.18628814328155,1109191
mya_Mymr-xx,25.55217406194727,1248242
npi_Deva-xx,28.392341899208784,4679412
nld_Latn-xx,29.408145742552527,136379427
nob_Latn-xx,30.831560400640335,30644684
nya_Latn-xx,25.119217183283443,114952
pan_Guru-xx,28.187203189851374,729394
pol_Latn-xx,29.04387480390602,178690573
por_Latn-xx,32.0312938708193,246401954
ron_Latn-xx,30.96750833243995,66499899
rus_Cyrl-xx,29.570136314799516,1014646036
snd_Arab-xx,26.624600896918153,210835
sin_Sinh-xx,26.871871220619507,846125
slk_Latn-xx,29.631372244026664,26721250
slv_Latn-xx,29.475751005463092,12381886
smo_Latn-xx,26.447999757207736,102125
sna_Latn-xx,24.252557933306043,124984
som_Latn-xx,24.962775430053643,1168106
als_Latn-xx,30.1336218411515,7023573
srp_Cyrl-xx,30.23310520236462,4775217
sot_Latn-xx,26.309712267943542,99970
sun_Latn-xx,28.485597154435045,153302
swe_Latn-xx,31.001164807136046,63308307
swh_Latn-xx,28.542521071381387,1279408
tam_Taml-xx,26.96463406633071,5769533
tel_Telu-xx,27.672897034969644,2034828
tgk_Cyrl-xx,27.549905556190314,1563304
tha_Thai-xx,28.020504698835154,28021205
tur_Latn-xx,29.16043585997179,132662955
ukr_Cyrl-xx,29.25217335380537,56159593
urd_Arab-xx,27.39211460823512,3432478
uzn_Latn-xx,27.635577749348034,1183603
vie_Latn-xx,28.538999353795617,132667573
xho_Latn-xx,26.969555160053808,122232
ydd_Hebr-xx,28.86687553610464,173510
yor_Latn-xx,21.648055671033227,86686
zho_Hant-xx,25.86625860423146,215327817
zul_Latn-xx,27.345688688489282,261239
