label,chrF++
ace_Arab-xx,17.37200542770843
ace_Latn-xx,17.699088782923972
acm_Arab-xx,19.297870056786458
acq_Arab-xx,19.081762530034634
aeb_Arab-xx,18.927638658808867
afr_Latn-xx,18.698878620471717
ajp_Arab-xx,19.107448707700257
aka_Latn-xx,17.264800580644142
als_Latn-xx,19.197303815596843
amh_Ethi-xx,18.994512654089004
apc_Arab-xx,18.717812217896494
arb_Arab-xx,19.07854050710866
arb_Latn-xx,15.415855041192494
ars_Arab-xx,19.27130985345897
ary_Arab-xx,18.50962947768659
arz_Arab-xx,18.950943496913712
asm_Beng-xx,18.240364670312015
ast_Latn-xx,18.96762486644818
awa_Deva-xx,19.303934348050035
ayr_Latn-xx,16.467800287235477
azb_Arab-xx,17.132930199429055
azj_Latn-xx,18.517954558132754
bak_Cyrl-xx,18.58214894360927
bam_Latn-xx,16.54897308342637
ban_Latn-xx,18.123063167884883
bel_Cyrl-xx,18.58694677281621
bem_Latn-xx,17.29669046950298
ben_Beng-xx,18.797248606125493
bho_Deva-xx,18.43780317328203
bjn_Arab-xx,17.14204910091055
bjn_Latn-xx,18.459153614372976
bod_Tibt-xx,16.824344391100222
bos_Latn-xx,18.767713956020938
bug_Latn-xx,17.139319374812175
bul_Cyrl-xx,19.202592959385708
cat_Latn-xx,19.330770642899132
ceb_Latn-xx,18.976358401852377
ces_Latn-xx,19.053510767995874
cjk_Latn-xx,16.243875264831523
ckb_Arab-xx,17.86686956099402
crh_Latn-xx,18.048393181857985
cym_Latn-xx,18.579344551983628
dan_Latn-xx,19.324776529642765
deu_Latn-xx,19.17016183163715
dik_Latn-xx,16.35328264670144
dyu_Latn-xx,16.388665831484627
dzo_Tibt-xx,16.75445630902995
ell_Grek-xx,19.0139749913641
eng_Latn-xx,20.195754892862595
epo_Latn-xx,18.673203675140996
est_Latn-xx,18.62299939174705
eus_Latn-xx,18.909902040002944
ewe_Latn-xx,16.861573389607155
fao_Latn-xx,18.55374019418183
fij_Latn-xx,17.095712755356
fin_Latn-xx,18.41881846387492
fon_Latn-xx,16.622307475153562
fra_Latn-xx,19.366679133685032
fur_Latn-xx,18.818403268403458
fuv_Latn-xx,16.2396110839367
gaz_Latn-xx,16.657293126181678
gla_Latn-xx,17.95958328716797
gle_Latn-xx,18.415665736642698
glg_Latn-xx,19.47470121395679
grn_Latn-xx,17.310742819340156
guj_Gujr-xx,18.647119134910724
hat_Latn-xx,18.210824741514468
hau_Latn-xx,17.911356812309393
heb_Hebr-xx,18.799262042002656
hin_Deva-xx,19.25290749654314
hne_Deva-xx,19.418934191847733
hrv_Latn-xx,18.529109633156025
hun_Latn-xx,19.040361644563973
hye_Armn-xx,19.146659938086287
ibo_Latn-xx,18.041714576247948
ilo_Latn-xx,18.2427970306501
ind_Latn-xx,19.0727035787421
isl_Latn-xx,18.44495422535402
ita_Latn-xx,19.489707627650002
jav_Latn-xx,18.58681326673737
jpn_Jpan-xx,19.398499194240717
kab_Latn-xx,16.885858425943788
kac_Latn-xx,16.990690977520007
kam_Latn-xx,16.604477526331532
kan_Knda-xx,17.76105018336899
kas_Arab-xx,18.125171839408086
kas_Deva-xx,17.304309365549017
kat_Geor-xx,19.079867970055666
kaz_Cyrl-xx,19.034935583154482
kbp_Latn-xx,16.659256190901157
kea_Latn-xx,18.222708897862116
khk_Cyrl-xx,18.902383314916275
khm_Khmr-xx,17.60536021723917
kik_Latn-xx,17.373067618064663
kin_Latn-xx,17.928822163046714
kir_Cyrl-xx,18.58214267757552
kmb_Latn-xx,16.753910139888074
kmr_Latn-xx,17.93340932661319
knc_Arab-xx,15.239128544801176
knc_Latn-xx,16.016131268756247
kon_Latn-xx,17.49087045633642
kor_Hang-xx,18.815348988947093
lao_Laoo-xx,17.276523754698317
lij_Latn-xx,18.61363420318218
