label,chrF++
ace_Arab-xx,18.09099907586652
ace_Latn-xx,19.337025477460067
acm_Arab-xx,21.26450864596693
acq_Arab-xx,21.056940843985554
aeb_Arab-xx,20.844699471157952
afr_Latn-xx,20.876540328979452
ajp_Arab-xx,21.17104791763039
aka_Latn-xx,18.53003526041485
als_Latn-xx,21.396919078583725
amh_Ethi-xx,20.556319814743606
apc_Arab-xx,20.57465388379402
arb_Arab-xx,21.05688736926451
arb_Latn-xx,16.061835436726383
ars_Arab-xx,21.252924108297357
ary_Arab-xx,20.28698018587127
arz_Arab-xx,20.862038680045416
asm_Beng-xx,19.838646847496484
ast_Latn-xx,21.081117748347467
awa_Deva-xx,21.566515097833026
ayr_Latn-xx,16.655308532165876
azb_Arab-xx,18.423551206512954
azj_Latn-xx,20.34983475410734
bak_Cyrl-xx,20.559224578466143
bam_Latn-xx,17.309450180434265
ban_Latn-xx,20.126503243979815
bel_Cyrl-xx,20.23281413636563
bem_Latn-xx,18.73912298557031
ben_Beng-xx,20.747002932783477
bho_Deva-xx,20.386771963692233
bjn_Arab-xx,18.097589619849934
bjn_Latn-xx,20.291964474069992
bod_Tibt-xx,16.551255670999897
bos_Latn-xx,20.941845315439267
bug_Latn-xx,18.336229634355487
bul_Cyrl-xx,21.549709552415678
cat_Latn-xx,21.706537170468263
ceb_Latn-xx,21.28987560009931
ces_Latn-xx,21.395427284363066
cjk_Latn-xx,16.970637909223914
ckb_Arab-xx,19.420331884389864
crh_Latn-xx,19.845356204707578
cym_Latn-xx,20.452582864421174
dan_Latn-xx,21.531369850442005
deu_Latn-xx,21.50222236347494
dik_Latn-xx,16.628649359823186
dyu_Latn-xx,16.948820119068536
dzo_Tibt-xx,16.09227529930989
ell_Grek-xx,21.022852846254366
eng_Latn-xx,22.751965543333917
epo_Latn-xx,20.896663533985492
est_Latn-xx,20.650889552572792
eus_Latn-xx,20.92212487549125
ewe_Latn-xx,17.400660673529334
fao_Latn-xx,20.259864553653927
fij_Latn-xx,17.952867262314633
fin_Latn-xx,20.21612811811211
fon_Latn-xx,17.233790573849564
fra_Latn-xx,21.737292994527348
fur_Latn-xx,20.648197551492718
fuv_Latn-xx,16.71571890256212
gaz_Latn-xx,17.502410431551375
gla_Latn-xx,19.6723363974295
gle_Latn-xx,20.197198569544792
glg_Latn-xx,21.88984314015322
grn_Latn-xx,18.55724082187213
guj_Gujr-xx,20.746132549803903
hat_Latn-xx,19.987147070650764
hau_Latn-xx,19.54802697096619
heb_Hebr-xx,20.815640176272197
hin_Deva-xx,21.54022106476595
hne_Deva-xx,21.705718305554075
hrv_Latn-xx,20.344853480291903
hun_Latn-xx,21.18164042925949
hye_Armn-xx,21.412832414995375
ibo_Latn-xx,19.46433791590553
ilo_Latn-xx,19.87367736077249
ind_Latn-xx,21.200035898800465
isl_Latn-xx,20.371805886777356
ita_Latn-xx,21.595487714026625
jav_Latn-xx,20.716699236167823
jpn_Jpan-xx,21.205328801013597
kab_Latn-xx,17.27620846182735
kac_Latn-xx,17.537001838144082
kam_Latn-xx,17.636161255502806
kan_Knda-xx,19.77170837306908
kas_Arab-xx,19.699729467246712
kas_Deva-xx,18.529896679577895
kat_Geor-xx,21.05280440613998
kaz_Cyrl-xx,21.100805979247205
kbp_Latn-xx,17.193099325965076
kea_Latn-xx,20.15896719737242
khk_Cyrl-xx,20.786938447917887
khm_Khmr-xx,19.410722823654304
kik_Latn-xx,18.321038049910126
kin_Latn-xx,19.544764411323833
kir_Cyrl-xx,20.541764518402434
kmb_Latn-xx,17.651777088233086
kmr_Latn-xx,19.634868080557567
knc_Arab-xx,14.42873107320127
knc_Latn-xx,16.678211951994566
kon_Latn-xx,18.80394832467564
kor_Hang-xx,20.61167528205507
lao_Laoo-xx,19.05714596373398
lij_Latn-xx,20.56277432059175
lim_Latn-xx,19.919170474551525
lin_Latn-xx,18.87165238728033
lit_Latn-xx,20.06759987803173
lmo_Latn-xx,20.573927600303765
ltg_Latn-xx,19.947793280174
ltz_Latn-xx,21.497362554589948
lua_Latn-xx,17.65641214845642
lug_Latn-xx,17.965670141522345
luo_Latn-xx,17.509677895339383
lus_Latn-xx,18.312622581804
lvs_Latn-xx,21.448677881924986
mag_Deva-xx,21.12289113166109
mai_Deva-xx,21.458029166055365
mal_Mlym-xx,19.283145141328088
mar_Deva-xx,20.627572280947035
min_Arab-xx,18.39212518342073
min_Latn-xx,19.71201699814674
mkd_Cyrl-xx,21.53632894011831
mlt_Latn-xx,20.33379531236269
mni_Beng-xx,18.126081975096895
mos_Latn-xx,16.89386949978415
mri_Latn-xx,19.140776139619355
mya_Mymr-xx,20.575854600845723
nld_Latn-xx,21.34125160787523
nno_Latn-xx,21.914850965010814
nob_Latn-xx,21.453095102671504
npi_Deva-xx,21.672619165044974
nso_Latn-xx,19.72327887094269
nus_Latn-xx,16.790676686562378
nya_Latn-xx,19.445710625964445
oci_Latn-xx,21.687527456419875
ory_Orya-xx,19.460322304736007
pag_Latn-xx,19.09369074069088
pan_Guru-xx,21.01018745349003
pap_Latn-xx,20.68341666480222
pbt_Arab-xx,20.556042343986576
pes_Arab-xx,21.110645178652582
plt_Latn-xx,20.154356981596642
