label,chrF++,size
xx-afr_Latn,24.339828332426926,1770414
xx-amh_Ethi,10.95410032252644,291570
xx-arb_Arab,18.347907762467084,92455378
xx-azj_Latn,19.55642692086577,7179300
xx-bel_Cyrl,18.330030828416046,2156584
xx-bul_Cyrl,22.478895953208912,32555640
xx-ben_Beng,18.183740110193654,15183514
xx-cat_Latn,22.964611431037063,19438615
xx-ceb_Latn,28.962369753206683,415208
xx-ces_Latn,17.706448866616125,82262078
xx-cym_Latn,21.90008941014368,1066595
xx-dan_Latn,23.39000412477026,36884558
xx-deu_Latn,22.899863767192237,545956997
xx-ell_Grek,20.388262826555472,68739380
xx-eng_Latn,23.91737048965406,3928733379
xx-epo_Latn,24.249533982768305,560151
xx-spa_Latn,23.77557329199528,591272119
xx-est_Latn,21.163182415505023,10401882
xx-eus_Latn,23.008380566006718,2077113
xx-pes_Arab,20.309184343931978,81252911
xx-fin_Latn,20.963445977826854,36807562
xx-tgl_Latn,29.976371798978096,2331209
xx-fra_Latn,24.254668362664624,454229019
xx-gle_Latn,22.45737521056923,611457
xx-gla_Latn,22.690893347169066,201237
xx-glg_Latn,22.893677305001408,3762255
xx-guj_Gujr,18.88934957024433,1292191
xx-hau_Latn,22.524371215284393,363002
xx-hin_Deva,20.07428605513447,26946979
xx-hat_Latn,21.448410183819195,232354
xx-hun_Latn,20.005533009369685,56645732
xx-hye_Armn,21.497672708475505,3873029
xx-ind_Latn,25.265708690304827,19423746
xx-ibo_Latn,18.16002665816551,110582
xx-isl_Latn,18.816980227448283,3139312
xx-ita_Latn,22.99277179445195,267686115
xx-heb_Hebr,17.60558565310282,17607812
xx-jpn_Jpan,8.628201353191411,85461924
xx-jav_Latn,23.474284887816115,218969
xx-kat_Geor,21.062835534825222,3726808
xx-kaz_Cyrl,20.081594204278005,3421165
xx-khm_Khmr,17.20957812420958,1384128
xx-kan_Knda,20.3628236224729,1916445
xx-kor_Hang,8.8803913536809,24035493
xx-kmr_Latn,18.782286609500748,399027
xx-kir_Cyrl,19.071249713028795,1198504
xx-ltz_Latn,22.057708495088526,850921
xx-lao_Laoo,20.863695271085607,302612
xx-lit_Latn,20.014929714308334,18234466
xx-lvs_Latn,20.930789983100993,9882376
xx-plt_Latn,26.735869866773626,263321
xx-mri_Latn,26.199490128816716,148146
xx-mkd_Cyrl,22.518091646458092,3599707
xx-mal_Mlym,20.26790537031671,3604562
xx-khk_Cyrl,19.276692788478915,2947312
xx-mar_Deva,18.753481975434134,4555599
xx-zsm_Latn,25.568200408783824,4688036
xx-mlt_Latn,21.053883671396985,1109191
xx-mya_Mymr,22.43517846066153,1248242
xx-npi_Deva,19.470448653817943,4679412
xx-nld_Latn,23.180511767872645,136379427
xx-nob_Latn,22.2117041824534,30644684
xx-nya_Latn,22.03031358501572,114952
xx-pan_Guru,18.354403529130373,729394
xx-pol_Latn,18.959270430329827,178690573
xx-por_Latn,23.10482075641532,246401954
xx-ron_Latn,23.36790917605579,66499899
xx-rus_Cyrl,20.140915086798802,1014646036
xx-snd_Arab,18.77063800201851,210835
xx-sin_Sinh,17.760407629643673,846125
xx-slk_Latn,18.627707483090266,26721250
xx-slv_Latn,21.33925650405701,12381886
xx-smo_Latn,27.911987399715755,102125
xx-sna_Latn,20.365371058842506,124984
xx-som_Latn,20.57435204017823,1168106
xx-als_Latn,23.261075976489558,7023573
xx-srp_Cyrl,20.492134700248208,4775217
xx-sot_Latn,24.769728828605007,99970
xx-sun_Latn,22.489299846628395,153302
xx-swe_Latn,21.892440819749197,63308307
xx-swh_Latn,24.18531561580008,1279408
xx-tam_Taml,23.24379344286044,5769533
xx-tel_Telu,19.685258876021617,2034828
xx-tgk_Cyrl,22.18081574639262,1563304
xx-tha_Thai,17.889621826244316,28021205
xx-tur_Latn,20.201884329084308,132662955
xx-ukr_Cyrl,19.57633444733432,56159593
xx-urd_Arab,19.794766972990445,3432478
xx-uzn_Latn,21.339931898890573,1183603
xx-vie_Latn,18.608980936982153,132667573
xx-xho_Latn,20.01905237779665,122232
xx-ydd_Hebr,23.89645484815952,173510
xx-yor_Latn,12.648995567318552,86686
xx-zho_Hant,5.845483253635196,215327817
xx-zul_Latn,22.21137120470032,261239
