label,chrF++
xx-ace_Arab,16.519535986956253
xx-ace_Latn,23.962306350390683
xx-acm_Arab,19.30800349109229
xx-acq_Arab,19.041123015581686
xx-aeb_Arab,18.986508872011196
xx-afr_Latn,26.01055528390231
xx-ajp_Arab,20.22903563421537
xx-aka_Latn,17.500171348894614
xx-als_Latn,25.127222891456125
xx-amh_Ethi,11.599454878759746
xx-apc_Arab,19.79884349930158
xx-arb_Arab,19.422164059636632
xx-arb_Latn,19.967053010020745
xx-ars_Arab,19.350150745855125
xx-ary_Arab,18.914475122368827
xx-arz_Arab,19.525297875705327
xx-asm_Beng,17.39202994107113
xx-ast_Latn,24.108426524561395
xx-awa_Deva,20.414988741700377
xx-ayr_Latn,15.26721551850574
xx-azb_Arab,18.549382147632173
xx-azj_Latn,20.0919104322685
xx-bak_Cyrl,19.079099537268977
xx-bam_Latn,16.100934372594512
xx-ban_Latn,25.831995502028377
xx-bel_Cyrl,19.25681971495593
xx-bem_Latn,22.469909490966664
xx-ben_Beng,19.255629966545843
xx-bho_Deva,19.38531502733481
xx-bjn_Arab,17.14869569099839
xx-bjn_Latn,26.211872285953486
xx-bod_Tibt,16.509980320359947
xx-bos_Latn,21.626745430102666
xx-bug_Latn,18.120928788056663
xx-bul_Cyrl,23.80507125907393
xx-cat_Latn,24.954675538946734
xx-ceb_Latn,30.08419807516789
xx-ces_Latn,18.767029590140456
xx-cjk_Latn,14.709739046387318
xx-ckb_Arab,21.10783641717385
xx-crh_Latn,20.529642805768983
xx-cym_Latn,23.378121700182273
xx-dan_Latn,24.541956466552083
xx-deu_Latn,24.045578653924007
xx-dik_Latn,8.032107842285637
xx-dyu_Latn,9.821737069216756
xx-dzo_Tibt,19.497261024910113
xx-ell_Grek,21.485658723830596
xx-eng_Latn,25.44227688536757
xx-epo_Latn,26.144608902273003
xx-est_Latn,21.850747120503307
xx-eus_Latn,23.413988868556018
xx-ewe_Latn,18.02225957677111
xx-fao_Latn,21.680702892555487
xx-fij_Latn,27.219311917224125
xx-fin_Latn,21.977990126292532
xx-fon_Latn,10.136931429552558
xx-fra_Latn,26.191731140567903
xx-fur_Latn,24.583879477224606
xx-fuv_Latn,10.964018051873394
xx-gaz_Latn,18.39589488293407
xx-gla_Latn,24.3358507654856
xx-gle_Latn,23.52154466501099
xx-glg_Latn,24.623805625184833
