lang_code,size
afr,1770414
amh,291570
ara,92455378
aze,7179300
bel,2156584
bul,32555640
ben,15183514
cat,19438615
ceb,415208
cos,217257
ces,82262078
cym,1066595
dan,36884558
deu,545956997
ell,68739380
eng,3928733379
epo,560151
spa,591272119
est,10401882
eus,2077113
fas,81252911
fin,36807562
fil,2331209
fra,454229019
fry,502656
gle,611457
gla,201237
glg,3762255
guj,1292191
hau,363002
haw,103043
hin,26946979
hmn,157016
hat,232354
hun,56645732
hye,3873029
ind,19423746
ibo,110582
isl,3139312
ita,267686115
heb,17607812
jpn,85461924
jav,218969
kat,3726808
kaz,3421165
khm,1384128
kan,1916445
kor,24035493
kur,399027
kir,1198504
lat,1632557
ltz,850921
lao,302612
lit,18234466
lav,9882376
mlg,263321
mri,148146
mkd,3599707
mal,3604562
mon,2947312
mar,4555599
msa,4688036
mlt,1109191
mya,1248242
nep,4679412
nld,136379427
nor,30644684
nya,114952
pan,729394
pol,178690573
pus,497321
por,246401954
ron,66499899
rus,1014646036
snd,210835
sin,846125
slk,26721250
slv,12381886
smo,102125
sna,124984
som,1168106
sqi,7023573
srp,4775217
sot,99970
sun,153302
swe,63308307
swa,1279408
tam,5769533
tel,2034828
tgk,1563304
tha,28021205
tur,132662955
ukr,56159593
und,3650492732
urd,3432478
uzb,1183603
vie,132667573
xho,122232
yid,173510
yor,86686
zho,215327817
zul,261239
