lang_code,size
afr_Latn,1770414
amh_Ethi,291570
arb_Arab,92455378
azj_Latn,7179300
bel_Cyrl,2156584
bul_Cyrl,32555640
ben_Beng,15183514
cat_Latn,19438615
ceb_Latn,415208
ces_Latn,82262078
cym_Latn,1066595
dan_Latn,36884558
deu_Latn,545956997
ell_Grek,68739380
eng_Latn,3928733379
epo_Latn,560151
spa_Latn,591272119
est_Latn,10401882
eus_Latn,2077113
pes_Arab,81252911
fin_Latn,36807562
tgl_Latn,2331209
fra_Latn,454229019
gle_Latn,611457
gla_Latn,201237
glg_Latn,3762255
guj_Gujr,1292191
hau_Latn,363002
hin_Deva,26946979
hat_Latn,232354
hun_Latn,56645732
hye_Armn,3873029
ind_Latn,19423746
ibo_Latn,110582
isl_Latn,3139312
ita_Latn,267686115
heb_Hebr,17607812
jpn_Jpan,85461924
jav_Latn,218969
kat_Geor,3726808
kaz_Cyrl,3421165
khm_Khmr,1384128
kan_Knda,1916445
kor_Hang,24035493
kmr_Latn,399027
kir_Cyrl,1198504
ltz_Latn,850921
lao_Laoo,302612
lit_Latn,18234466
lvs_Latn,9882376
plt_Latn,263321
mri_Latn,148146
mkd_Cyrl,3599707
mal_Mlym,3604562
khk_Cyrl,2947312
mar_Deva,4555599
zsm_Latn,4688036
mlt_Latn,1109191
mya_Mymr,1248242
npi_Deva,4679412
nld_Latn,136379427
nob_Latn,30644684
nya_Latn,114952
pan_Guru,729394
pol_Latn,178690573
por_Latn,246401954
ron_Latn,66499899
rus_Cyrl,1014646036
snd_Arab,210835
sin_Sinh,846125
slk_Latn,26721250
slv_Latn,12381886
smo_Latn,102125
sna_Latn,124984
som_Latn,1168106
als_Latn,7023573
srp_Cyrl,4775217
sot_Latn,99970
sun_Latn,153302
swe_Latn,63308307
swh_Latn,1279408
tam_Taml,5769533
tel_Telu,2034828
tgk_Cyrl,1563304
tha_Thai,28021205
tur_Latn,132662955
ukr_Cyrl,56159593
urd_Arab,3432478
uzn_Latn,1183603
vie_Latn,132667573
xho_Latn,122232
ydd_Hebr,173510
yor_Latn,86686
zho_Hant,215327817
zul_Latn,261239
